time,CO2_ppm,CO2_2_ppm,O2_percent
1763392527.9743629,920,,21.04
1763392532.794065,920,,21.04
1763392537.794241,920,,21.03
1763392542.794248,930,,21.03
1763392547.7943347,920,,21.04
1763392552.7944849,920,,21.03
1763392557.7944884,920,,21.03
1763392562.794661,910,,21.04
1763392567.7946343,920,,21.03
1763392572.7947054,920,,21.03
1763392577.7948453,910,,21.03
1763392582.7948792,910,,21.03
1763392587.795001,910,,21.03
1763392592.7950242,900,,21.03
1763392597.79516,890,,21.03
1763392602.795178,890,,21.03
1763392607.7953262,880,,21.03
1763392612.7953415,880,,21.03
1763392617.7954283,880,,21.04
1763392622.7955716,870,,21.03
1763392627.7955823,880,,21.04
1763392632.7957277,880,,21.03
1763392637.7957673,880,,21.03
1763392642.795829,890,,21.03
1763392647.7959554,880,,21.03
1763392652.7959828,880,,21.04
1763392657.796049,880,,21.04
1763392662.796135,890,,21.04
1763392667.7962823,890,,21.03
1763392672.7962847,900,,21.04
1763392677.8135726,900,,21.04
1763392682.79653,900,,21.04
1763392687.7965388,900,,21.04
1763392692.7966762,890,,21.03
1763392697.796705,880,,21.03
1763392702.7968247,880,,21.04
1763392707.796826,880,,21.04
1763392712.796928,870,,21.04
1763392717.7970402,880,,21.04
1763392722.7970657,870,,21.04
1763392727.7971394,870,,21.03
1763392732.7972295,870,,21.04
1763392737.8001614,870,,21.04
1763392742.7974348,850,,21.04
1763392747.7974582,850,,21.03
1763392752.7976193,860,,21.04
1763392757.7976182,850,,21.04
1763392762.7977648,850,,21.04
1763392767.7977855,850,,21.04
1763392772.797948,860,,21.04
1763392777.797951,860,,21.04
1763392782.7980325,860,,21.05
1763392787.7981796,860,,21.04
1763392792.798194,850,,21.04
1763392797.7982767,860,,21.04
1763392802.7983656,850,,21.04
1763392807.7984695,850,,21.04
1763392812.7984958,840,,21.04
1763392817.7985826,840,,21.04
1763392822.798695,830,,21.04
1763392827.7987142,840,,21.04
1763392832.7988071,840,,21.04
1763392837.7988899,840,,21.04
1763392842.7989814,830,,21.04
1763392847.7990243,840,,21.04
1763392852.7991023,840,,21.04
1763392857.7992399,840,,21.04
1763392862.7992706,830,,21.04
1763392867.7994215,840,,21.04
1763392872.7994187,840,,21.04
1763392877.7995076,830,,21.04
1763392882.799644,830,,21.04
1763392887.799664,830,,21.04
1763392892.7997487,820,,21.04
1763392897.7998362,820,,21.04
1763392902.7999427,820,,21.04
1763392907.8037672,820,,21.04
1763392912.8000638,820,,21.04
1763392917.8002346,810,,21.04
1763392922.8002424,820,,21.04
1763392927.800377,820,,21.04
1763392932.800403,820,,21.04
1763392937.8005545,830,,21.05
1763392942.8005722,840,,21.04
1763392947.8006284,860,,21.04
1763392952.800767,890,,21.04
1763392957.8007908,930,,21.04
1763392962.800899,960,,21.04
1763392967.8009346,1020,,21.04
1763392972.8010244,1050,,21.04
1763392977.80116,1130,,21.04
1763392982.8251805,1170,,21.04
1763392987.8012388,1370,,21.04
1763392992.8041906,1570,,21.04
1763392997.8043222,1880,,21.04
1763393002.8043709,2270,,21.03
1763393007.8044503,2750,,21.03
1763393012.804591,3100,,21.03
1763393017.8045962,3510,,21.03
1763393022.8046806,3860,,21.02
1763393027.8081887,4380,,21.0
1763393032.8083608,4730,,21.0
1763393037.8083699,5220,,20.99
1763393042.8084664,5470,,20.98
1763393047.8085842,5780,,20.97
1763393052.8086019,6100,,20.97
1763393057.8087378,6610,,20.97
1763393062.812197,6850,,20.97
1763393067.8123386,7470,,20.96
1763393072.8123615,7950,,20.96
1763393077.8124352,8510,,20.96
1763393082.8125913,8960,,20.95
1763393087.812624,9680,,20.94
1763393092.8127003,10060,,20.93
1763393097.8127801,10430,,20.91
1763393102.8129218,10840,,20.9
1763393107.8129342,11230,,20.9
1763393112.8131773,11320,,20.89
1763393117.8131835,11730,,20.89
1763393122.8131723,12060,,20.89
1763393127.8133125,12240,,20.88
1763393132.8136067,12510,,20.88
1763393137.8134732,13220,,20.89
1763393142.8135102,13530,,20.88
1763393147.8135862,14000,,20.88
1763393152.8137252,14470,,20.87
1763393157.8137574,14570,,20.86
1763393162.8139007,14840,,20.85
1763393167.8139405,15100,,20.85
1763393172.8140204,15330,,20.84
1763393177.8141568,15700,,20.84
1763393182.8141882,15820,,20.84
1763393187.8143,15870,,20.84
1763393192.8143466,15950,,20.83
1763393197.8144264,16110,,20.83
1763393202.8145068,16280,,20.82
1763393207.8146324,16510,,20.82
1763393212.8146708,16640,,20.82
1763393217.8147461,16690,,20.81
1763393222.8148656,16720,,20.81
1763393227.8149033,16670,,20.81
1763393232.815035,16660,,20.82
1763393237.8150706,16700,,20.81
1763393242.8151662,16710,,20.81
1763393247.8152688,16690,,20.81
1763393252.815331,16690,,20.81
1763393257.8154156,16690,,20.81
1763393262.8154964,16720,,20.81
1763393267.8156297,16730,,20.81
1763393272.815657,16730,,20.81
1763393277.8157642,16730,,20.81
1763393282.8159122,16730,,20.81
1763393287.8422594,16730,,20.81
1763393292.8196726,16730,,20.81
1763393297.8160925,16740,,20.81
1763393302.8162496,16730,,20.81
1763393307.8162367,16730,,20.81
1763393312.816341,16720,,20.81
1763393317.8164976,16710,,20.81
1763393322.8165064,16680,,20.81
1763393327.8166344,16670,,20.81
1763393332.816654,16630,,20.81
1763393337.816742,16620,,20.81
1763393342.8205142,16620,,20.81
1763393347.8169305,16620,,20.81
1763393352.8170757,16620,,20.82
1763393357.8171356,16590,,20.81
1763393362.817259,16570,,20.82
1763393367.8172815,16540,,20.81
1763393372.817373,16480,,20.81
1763393377.8174927,16470,,20.81
1763393382.8175302,16420,,20.81
1763393387.8176596,16410,,20.81
1763393392.817697,16360,,20.81
1763393397.8178287,16300,,20.81
1763393402.8178735,16240,,20.82
1763393407.817944,16220,,20.81
1763393412.8180866,16150,,20.81
1763393417.8181248,16120,,20.82
1763393422.8182578,16050,,20.81
1763393427.8202128,16040,,20.81
1763393432.820361,16050,,20.82
1763393437.8203845,16030,,20.82
1763393442.8204658,16000,,20.82
1763393447.8206067,15980,,20.81
1763393452.820656,15940,,20.82
1763393457.8207352,15890,,20.82
1763393462.8208253,15870,,20.81
1763393467.820949,15870,,20.82
1763393472.8209915,15870,,20.82
1763393477.8210547,15810,,20.82
1763393482.8212385,15720,,20.82
1763393487.8212378,15640,,20.82
1763393492.8213942,15570,,20.82
1763393497.8213987,15560,,20.82
1763393502.8215003,15550,,20.82
1763393507.8216088,15520,,20.82
1763393512.8216403,15510,,20.82
1763393517.8217115,15460,,20.82
1763393522.821791,15400,,20.82
1763393527.8219383,15390,,20.83
1763393532.8220155,15380,,20.82
1763393537.822045,15350,,20.82
1763393542.8222551,15320,,20.82
1763393547.8229537,15260,,20.83
1763393552.82239,15190,,20.84
1763393557.8224888,15150,,20.83
1763393562.822556,15140,,20.83
1763393567.822602,15100,,20.83
1763393572.8226886,15080,,20.83
1763393577.8238294,15030,,20.84
1763393582.8246515,15030,,20.84
1763393587.8238807,14950,,20.83
1763393592.8586383,14910,,20.83
1763393597.8239756,14830,,20.83
1763393602.8240702,14790,,20.84
1763393607.8262992,14710,,20.84
1763393612.8242228,14650,,20.84
1763393617.8242767,14620,,20.83
1763393622.8244257,14580,,20.83
1763393627.824467,14560,,20.83
1763393632.824594,14540,,20.83
1763393637.8246307,14480,,20.84
1763393642.8247197,14450,,20.84
1763393647.8248508,14430,,20.84
1763393652.824863,14430,,20.84
1763393657.8249612,14390,,20.84
1763393662.8250558,14370,,20.84
1763393667.8263137,14350,,20.84
1763393672.8252048,14330,,20.85
1763393677.8252828,14230,,20.86
1763393682.8253987,14180,,20.84
1763393687.825428,14160,,20.85
1763393692.8255823,14170,,20.84
1763393697.8255699,14140,,20.84
1763393702.8256829,14130,,20.84
1763393707.8258243,14100,,20.86
1763393712.8258286,14080,,20.86
1763393717.8259642,13970,,20.85
1763393722.8260071,13920,,20.86
1763393727.8287003,13830,,20.86
1763393732.8261435,13790,,20.86
1763393737.8262296,13690,,20.86
1763393742.8263729,13630,,20.86
1763393747.8263857,13610,,20.85
1763393752.8265054,13600,,20.86
1763393757.826511,13540,,20.86
1763393762.8266582,13500,,20.86
1763393767.8266723,13430,,20.86
1763393772.8267455,13420,,20.86
1763393777.8268728,13410,,20.86
1763393782.8269007,13370,,20.87
1763393787.8286815,13260,,20.87
1763393792.8270748,13250,,20.87
1763393797.8271372,13250,,20.86
1763393802.8271956,13230,,20.87
1763393807.8272798,13170,,20.87
1763393812.8273575,13080,,20.87
1763393817.8274302,13060,,20.87
1763393822.8275635,12990,,20.87
1763393827.8275712,12960,,20.87
1763393832.8277225,12960,,20.87
1763393837.8277469,12860,,20.87
1763393842.8278284,12780,,20.87
1763393847.8289025,12760,,20.87
1763393852.827977,12700,,20.88
1763393857.8280597,12640,,20.87
1763393862.8281777,12640,,20.87
1763393867.8282676,12660,,20.88
1763393872.8283,12670,,20.87
1763393877.8284063,12630,,20.87
1763393882.8285463,12640,,20.88
1763393887.8421936,12630,,20.89
1763393892.8286164,12550,,20.87
1763393897.8287132,12490,,20.88
1763393902.8288457,12480,,20.87
1763393907.828942,12480,,20.87
1763393912.8292856,12450,,20.88
1763393917.8291333,12430,,20.89
1763393922.8292286,12390,,20.88
1763393927.82932,12380,,20.88
1763393932.8293583,12370,,20.88
1763393937.8320181,12360,,20.88
1763393942.8342152,12320,,20.88
