time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C,OD_Trx_V,OD_Sct_V
2.384185791015625e-06,6780.0,9960.0,20.8,36.625,3.678642857142857,0.3588035714285715
5.000081539154053,0.0,9800.0,20.8,36.625,3.7181160714285717,0.30713392857142857
10.000203132629395,6840.0,9830.0,20.8,36.562,3.6971071428571425,0.278875
15.000274658203125,6950.0,9830.0,20.8,36.5,3.7169464285714287,0.26567857142857143
20.000361442565918,6970.0,9840.0,20.8,36.437,3.703330357142857,0.23956249999999998
25.000442504882812,7000.0,9840.0,20.8,36.375,3.716446428571429,0.22938392857142853
30.00053334236145,7030.0,9890.0,20.8,36.25,3.685258928571429,0.22143749999999998
35.0006217956543,7060.0,9910.0,20.8,36.25,3.6901071428571437,0.21740178571428573
40.0007061958313,7090.0,9910.0,20.8,36.062,3.721705357142857,0.20865178571428572
45.000869035720825,7100.0,9910.0,20.8,36.0,3.712508928571429,0.20033035714285716
50.00096249580383,7110.0,9920.0,20.8,35.937,3.7220892857142855,0.19835714285714287
55.00104117393494,7120.0,9890.0,20.8,35.875,3.7133214285714287,0.19825000000000007
60.0011100769043,7110.0,9680.0,20.8,35.812,3.693258928571428,0.19517857142857145
65.00118947029114,7100.0,9590.0,20.8,35.75,3.709098214285714,0.18977678571428572
70.00133943557739,7060.0,9420.0,20.8,35.75,3.7122142857142864,0.1863839285714286
75.00142335891724,7030.0,9270.0,20.8,35.687,3.7056785714285705,0.18853571428571428
80.00151515007019,6810.0,9170.0,21.18,35.625,3.7017946428571435,0.1913482142857143
85.00158596038818,5860.0,9110.0,20.72,35.687,3.7048482142857146,0.1874375
90.00167036056519,4810.0,9060.0,20.78,35.625,3.7365178571428572,0.20094642857142858
95.00175285339355,4300.0,9090.0,20.8,35.687,3.7059642857142854,0.18198214285714287
100.00182914733887,3940.0,9100.0,20.8,35.625,3.627160714285715,0.1865089285714286
105.0019052028656,3710.0,9140.0,20.8,35.625,3.710758928571429,0.18108035714285714
110.00197696685791,3730.0,9140.0,20.8,35.687,3.6963749999999993,0.1790803571428571
115.00205159187317,3920.0,9020.0,20.8,35.687,3.7031517857142853,0.18257142857142858
120.00212001800537,4090.0,8880.0,20.8,35.687,3.6860267857142857,0.17912499999999998
125.00217294692993,4360.0,8780.0,20.8,35.75,3.676723214285714,0.19007142857142859
130.00224447250366,4570.0,8670.0,20.81,35.75,3.6605892857142863,0.18820535714285716
135.00235629081726,4910.0,8630.0,20.8,35.812,3.683035714285715,0.17583035714285716
140.00244688987732,5130.0,8610.0,20.8,35.812,3.7000892857142857,0.17879464285714283
145.00253176689148,5360.0,8620.0,20.8,35.875,3.69775,0.17764285714285713
150.00260305404663,5470.0,8630.0,20.8,35.875,3.702366071428571,0.17813392857142854
155.00268054008484,5600.0,8650.0,20.8,35.937,3.7096875000000007,0.17905357142857145
160.0027632713318,5670.0,8680.0,20.8,36.0,3.6806785714285715,0.17871428571428574
165.00284337997437,5730.0,8720.0,20.8,36.0,3.706464285714286,0.1821875
170.00292229652405,5760.0,8700.0,20.8,36.062,3.7120714285714285,0.17841964285714287
175.00299978256226,5800.0,8570.0,20.8,36.062,3.6897946428571435,0.1723214285714286
180.00307178497314,5820.0,8460.0,20.8,36.125,3.6846428571428573,0.17949107142857143
185.00314235687256,5820.0,8300.0,20.8,36.125,3.699553571428571,0.17601785714285717
190.00321578979492,5850.0,8220.0,20.82,36.187,3.697464285714286,0.18049107142857146
195.00328850746155,5910.0,8080.0,20.8,36.187,3.7037589285714287,0.17880357142857142
200.00336480140686,5940.0,8080.0,20.8,36.25,3.6542678571428575,0.1722767857142857
205.00343656539917,5960.0,8070.0,20.8,36.25,3.7057410714285717,0.17864285714285716
210.0035092830658,5960.0,8130.0,20.8,36.312,3.7170267857142854,0.17466964285714287
215.00358510017395,5940.0,8140.0,20.8,36.312,3.7138035714285715,0.17430357142857142
220.0036642551422,5920.0,8150.0,20.8,36.312,3.718633928571429,0.18180357142857145
225.003741979599,5890.0,8170.0,20.8,36.375,3.7023392857142854,0.1731339285714286
230.003821849823,5860.0,8170.0,20.8,36.312,3.7067857142857146,0.17947321428571428
235.00391364097595,5830.0,8130.0,20.8,36.375,3.6525803571428566,0.17716964285714284
240.00398802757263,5800.0,8070.0,20.8,36.312,3.707732142857143,0.1896517857142857
245.00406217575073,5780.0,7920.0,20.8,36.312,3.7029464285714284,0.1798392857142857
250.0041320323944,5790.0,7830.0,20.85,36.312,3.706544642857143,0.17526785714285714
255.00424003601074,5820.0,7770.0,20.8,36.312,3.711767857142857,0.17294642857142858
260.00431513786316,5820.0,7760.0,20.8,36.312,3.709062500000001,0.18527678571428569
265.00439071655273,5810.0,7740.0,20.8,36.312,3.7096339285714293,0.17616964285714287
270.00446677207947,5790.0,7720.0,20.8,36.312,3.7082053571428575,0.1790892857142857
275.00454926490784,5760.0,7750.0,20.8,36.25,3.6520089285714286,0.16883928571428572
280.0046184062958,5740.0,7730.0,20.8,36.25,3.7047946428571437,0.17509821428571426
285.00469613075256,5710.0,7740.0,20.8,36.25,3.7018392857142857,0.17694642857142856
290.0047674179077,5690.0,7740.0,20.8,36.25,3.710919642857143,0.18030357142857142
295.0048463344574,5650.0,7700.0,20.8,36.25,3.6512678571428565,0.1697053571428572
300.0049159526825,5630.0,7670.0,20.8,36.187,3.6951339285714293,0.179375
305.00497579574585,5590.0,7550.0,20.81,36.187,3.704651785714286,0.17522321428571433
310.0050456523895,5580.0,7490.0,20.86,36.187,3.7073303571428577,0.17532142857142857
