time,CO2_ppm,O2_percent
1763124546.988861,1460,20.73
1763124551.9890592,1470,20.73
1763124556.9887936,1470,20.75
1763124561.9939518,1480,21.2
1763124566.9934826,2370,21.05
1763124571.9936757,6910,20.89
1763124576.9939504,13990,20.82
1763124581.9936986,17880,20.82
1763124586.9955432,22460,20.81
1763124591.9950535,24550,20.81
1763124596.995202,27030,20.81
1763124601.9986217,28400,20.81
1763124606.9952495,29370,20.81
1763124611.9971304,30980,20.8
1763124616.995597,32410,20.79
1763124622.0015116,35450,20.74
1763124626.9957623,37690,20.72
1763124631.995873,41050,20.65
1763124636.9958951,42640,20.6
1763124641.9959686,44790,20.57
1763124647.0045893,45880,20.51
1763124652.0015137,46860,20.5
1763124657.0256736,47440,20.49
1763124661.9968948,46620,20.47
1763124666.9964986,45830,20.44
1763124671.9966571,44430,20.44
1763124676.9966533,43670,20.43
1763124681.9967034,42120,20.43
1763124687.001433,40840,20.44
1763124692.0003922,40220,20.44
1763124697.0025864,39530,20.43
1763124702.0005372,38950,20.44
1763124707.0007524,38550,20.45
1763124712.0007894,37660,20.47
1763124717.0009382,36640,20.47
1763124722.0036151,35460,20.47
1763124727.0009618,34480,20.49
1763124732.0093377,33470,20.5
1763124737.0030522,33070,20.51
1763124742.0048606,32670,20.51
1763124747.0032022,32530,20.51
1763124752.0032427,32490,20.52
1763124757.0033352,32490,20.51
1763124762.0035164,32490,20.52
1763124767.0073273,32500,20.53
1763124772.0035722,32350,20.54
1763124777.0036564,32150,20.54
1763124782.003724,31570,20.55
1763124787.003769,31210,20.55
1763124792.0088928,30620,20.57
1763124797.0039358,30220,20.57
1763124802.0040684,29870,20.57
1763124807.0041034,29790,20.58
1763124812.004179,29620,20.58
1763124817.004564,29520,20.58
