time,CO2_ppm,O2_percent
1763112978.3973358,6940,20.89
1763112983.3971102,6950,20.89
1763112988.3972588,6950,20.89
1763112993.3972738,6950,20.89
1763112998.3978138,6960,20.89
1763113003.397392,6980,20.89
1763113008.4091089,6990,20.88
1763113013.3990536,7000,20.89
1763113018.4009142,7000,20.89
1763113023.3991947,7000,20.89
1763113028.3992472,6990,20.89
1763113033.402285,7000,20.88
1763113038.4020882,7000,20.89
1763113043.4048672,7010,20.89
1763113048.4022615,7020,20.88
1763113053.4023302,7020,20.88
1763113058.4024038,7020,20.88
1763113063.4024994,7020,20.88
1763113068.4038382,7020,20.88
1763113073.4026237,7020,20.88
1763113078.4340851,7030,20.88
1763113083.402779,7030,20.88
1763113088.4028573,7030,20.88
1763113093.4076045,7030,20.88
1763113098.403043,7030,20.89
1763113103.4031634,7030,20.88
1763113108.4032245,7030,20.88
1763113113.4032605,7030,20.87
1763113118.4059074,7030,20.88
1763113123.4033887,7040,20.88
1763113128.4044292,7040,20.88
1763113133.4040675,7080,20.88
1763113138.4076455,7110,20.88
1763113143.404225,7200,20.89
1763113148.4042816,7260,20.88
1763113153.404362,7390,20.88
1763113158.4049144,7480,20.88
1763113163.4045053,7720,20.88
1763113168.4045546,8010,20.88
1763113173.4098365,8240,20.87
1763113178.4051034,8400,20.87
1763113183.4065285,8690,20.86
1763113188.405113,8870,20.86
1763113193.4090595,9030,20.85
1763113198.408803,9160,20.86
1763113203.4122589,9110,20.86
1763113208.4095194,9110,20.86
1763113213.4090097,9170,20.86
1763113218.409795,9180,20.84
1763113223.409411,9220,20.85
1763113228.4110653,9250,20.85
1763113233.4102948,9300,20.85
1763113238.409597,9350,20.83
1763113243.4105716,9370,20.82
1763113248.4097915,9380,20.84
1763113253.4116306,9410,20.84
1763113258.410363,9420,20.84
1763113263.4100099,9420,20.83
1763113268.4109757,9430,20.84
1763113273.4106572,9480,20.84
1763113278.4169426,9480,20.83
1763113283.4108083,9480,20.82
1763113288.4108624,9500,20.84
1763113293.410914,9500,20.83
1763113298.4110003,9500,20.85
1763113303.4149704,9520,20.85
1763113308.4111488,9560,20.86
1763113313.411339,9610,20.84
1763113318.4113739,9680,20.84
1763113323.4115267,9710,20.83
1763113328.4177783,9790,20.83
1763113333.4115784,9830,20.83
1763113338.4142797,9820,20.84
1763113343.412014,9880,20.84
1763113348.4158504,9970,20.84
1763113353.4121456,10010,20.83
1763113358.414675,10050,20.83
1763113363.4124308,10110,20.83
1763113368.414557,10180,20.82
1763113373.4139807,10190,20.82
1763113378.4126174,10280,20.83
1763113383.4499056,10320,20.82
1763113388.4128838,10350,20.82
1763113393.4180782,10390,20.83
1763113398.4128926,10410,20.83
1763113403.4200087,10460,20.82
1763113408.41359,10480,20.83
1763113413.4189355,10500,20.82
1763113418.413757,10500,20.82
1763113423.4138145,10490,20.82
1763113428.4138925,10510,20.83
1763113433.413956,10580,20.82
1763113438.415933,10660,20.82
1763113443.4140851,10710,20.82
1763113448.4141512,10860,20.83
1763113453.4157324,10990,20.82
1763113458.4151485,11120,20.82
1763113463.4152308,11300,20.82
1763113468.4201374,11770,20.82
1763113473.4153695,12090,20.82
1763113478.4154425,12600,20.81
1763113483.4212599,13120,20.81
1763113488.4184427,14130,20.81
1763113493.418619,14630,20.81
1763113498.421733,15480,20.81
1763113503.418653,16080,20.8
1763113508.4229045,16870,20.81
1763113513.4241865,17160,20.79
1763113518.4350479,17970,20.79
1763113523.4260564,18490,20.79
1763113528.42205,19710,20.79
1763113533.4251611,20340,20.76
1763113538.4242697,21020,20.74
1763113543.4289641,21300,20.74
1763113548.4246979,22110,20.73
1763113553.4244635,22510,20.73
1763113558.424822,23240,
1763113563.4246073,23710,20.71
1763113568.4246976,24100,20.7
1763113573.425833,24390,20.69
1763113578.4248252,24870,20.69
1763113583.4249833,24920,20.68
1763113588.4249897,25510,20.67
1763113593.4250662,25550,20.66
1763113598.4276862,25850,20.66
1763113603.4252117,26200,20.66
1763113608.4252875,26570,20.66
1763113613.4386916,26780,20.65
1763113618.4380748,27350,20.65
1763113623.4425664,27530,20.65
1763113628.438208,27510,20.64
