time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,CO2_ppm,O2_percent,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B
2026-02-09 11:54:41,1.9073486328125e-06,0.05990178571428571,0.6978482142857143,0.049544642857142863,22.625,593,17.89,28.713752760440112,0.0,50.0,50.0,50.0
2026-02-09 11:55:00,20.000075578689575,0.06016964285714286,0.6550535714285715,0.04951785714285715,22.687,591,18.16,28.499576641302095,0.0,50.0,50.0,50.0
2026-02-09 11:55:20,40.0001437664032,0.059500000000000004,0.6664038461538462,0.04890384615384616,23.062,602,18.15,23.871786831804513,0.0,50.0,50.0,50.0
