time,CO2_ppm,O2_percent
1763131777.9677792,9660,20.86
1763131782.9677079,9680,20.87
1763131787.9675312,9700,20.89
1763131792.9685676,9770,20.88
1763131797.968143,9890,20.87
1763131802.9712908,10110,20.87
1763131807.968353,10280,20.87
1763131812.9684172,10850,20.84
1763131817.969116,11200,20.85
1763131822.969737,11580,20.86
1763131827.9692063,12070,20.84
1763131832.9722934,12330,20.83
1763131837.9693332,12540,20.82
1763131842.9694183,12950,20.83
1763131847.9694989,13010,20.82
1763131852.9696772,13280,20.83
1763131858.0422773,13400,20.83
1763131862.9697516,13570,20.81
1763131867.969781,13720,20.81
1763131872.977224,13850,20.82
1763131877.970744,13950,20.82
1763131882.9747498,14050,20.82
1763131887.972728,14420,20.81
1763131892.9709282,14420,20.81
1763131897.9724889,14650,20.81
1763131902.971634,14660,20.81
1763131907.9716818,14800,20.81
1763131912.977075,14880,20.81
1763131917.9718034,15290,20.81
1763131922.974223,15540,20.81
1763131927.9739513,16430,20.81
1763131932.9934952,16780,20.8
1763131937.9743834,17240,20.79
1763131942.974642,17520,20.8
1763131947.9745393,17480,20.79
1763131952.9771307,17590,20.78
1763131957.9747052,18190,20.76
1763131962.9767647,18010,20.77
1763131967.9800222,17860,20.76
1763131972.9765904,17890,20.74
1763131977.9768512,17880,20.76
1763131982.9768062,17900,20.77
1763131987.9757218,17800,20.77
1763131992.97575,17790,20.76
1763131997.975814,17750,20.77
1763132002.9758012,17720,20.75
1763132007.9762566,17510,20.76
1763132012.975968,17400,20.76
1763132017.976024,17320,20.78
1763132022.9785745,17210,20.8
1763132027.9782953,17030,20.8
1763132032.9792838,16850,20.75
1763132037.9784393,16550,20.77
1763132042.9785109,16460,20.79
1763132047.9786525,16220,20.79
1763132052.9786267,15980,20.8
1763132057.9790347,15800,20.79
1763132062.979315,15670,20.8
1763132067.9788752,15540,20.8
1763132072.9797454,15470,20.79
1763132077.9795887,15320,20.8
1763132082.985261,15050,20.81
1763132087.979748,14900,20.8
1763132092.9801185,14770,20.82
1763132097.979969,14470,20.81
1763132102.9853792,14370,20.81
1763132107.9800684,14130,20.81
1763132112.9819202,14090,20.81
1763132117.9816012,13940,20.81
1763132122.9854648,13820,20.81
1763132127.9817698,13660,20.81
1763132132.981956,13530,20.81
1763132137.981921,13260,20.81
1763132142.9832864,13030,20.8
1763132147.982081,12940,20.81
1763132152.9852374,12890,20.82
1763132157.9830194,12770,20.83
1763132162.984922,12590,20.82
1763132167.9831455,12450,20.82
1763132172.987023,12400,20.82
1763132177.9863877,12240,20.82
1763132182.9874158,12240,20.82
1763132187.9865472,12110,20.82
1763132192.9870694,11970,20.82
1763132197.986735,11880,20.82
1763132202.9879496,11830,20.83
1763132207.9869077,11790,20.83
1763132212.9869678,11720,20.82
1763132217.9870164,11650,20.82
1763132222.987197,11580,20.82
1763132227.9872503,11530,20.84
1763132232.9902024,11440,20.86
1763132238.0195472,11330,20.85
