time,CO2_ppm,O2_percent
1763136306.5265388,4910,20.97
1763136311.528542,4920,20.96
1763136316.5265217,4960,20.95
1763136321.526668,5440,20.93
1763136326.526702,7540,20.93
1763136331.532773,8440,20.91
1763136336.5269682,9370,20.89
1763136341.5269358,9380,20.89
1763136346.5271225,9330,20.88
1763136351.5271354,9300,20.88
1763136356.5315297,9190,20.89
1763136361.5271895,9140,20.89
1763136366.52791,9020,20.89
1763136371.5279007,8970,20.89
1763136376.5321562,8980,20.88
1763136381.6192062,9000,20.87
1763136386.529046,9150,20.87
1763136391.5288134,9340,20.89
1763136396.5299063,9890,20.89
1763136401.5296884,10380,20.87
1763136406.5290928,10850,20.85
1763136411.5567594,11210,20.87
1763136416.53236,11970,20.85
1763136421.5395966,12350,20.86
1763136426.5323687,12600,20.84
1763136431.5349925,12760,20.83
1763136436.5349185,12870,20.83
1763136441.537261,12860,20.82
1763136446.5349085,13090,20.83
1763136451.5358899,13230,20.81
1763136456.535621,13500,20.82
1763136461.5383277,13720,20.82
1763136466.5358083,13880,20.82
1763136471.5359612,14030,20.82
1763136476.5359704,14180,20.82
1763136481.5364728,14280,20.82
1763136486.536112,14450,20.81
1763136491.5362096,14510,20.81
1763136496.5362687,14780,20.81
1763136501.540068,14660,20.81
1763136506.5364225,14690,20.81
1763136511.5390558,14720,20.81
1763136516.5390394,14740,20.81
1763136521.5393004,14790,20.81
1763136526.539615,14850,20.81
1763136531.5413651,14850,20.81
1763136536.540365,14900,20.81
1763136541.5445113,15000,20.8
1763136546.5498736,15080,20.8
1763136551.5444372,15180,20.81
1763136556.5446422,15240,20.81
1763136561.5445511,15260,20.81
1763136566.548547,15310,20.8
1763136571.5447059,15420,20.8
1763136576.544825,15490,20.8
1763136581.5449266,15590,20.8
1763136586.5463045,15720,20.8
1763136591.5481877,15840,20.8
1763136596.5451112,15930,20.79
1763136601.5461822,16030,20.76
1763136606.5628488,16110,20.76
1763136611.5472944,16240,20.79
1763136616.5459669,16260,20.8
1763136621.5461926,16350,20.8
1763136626.5462112,16380,20.77
1763136631.5463293,16420,20.75
1763136636.5474124,16400,20.76
1763136641.546379,16420,20.79
1763136646.5513277,16430,20.8
1763136651.5510645,16350,20.8
1763136656.565116,16280,20.79
1763136661.551233,16210,20.77
1763136666.551381,16210,20.78
1763136671.5513904,16160,20.77
1763136676.5515082,16100,20.8
1763136681.5515285,15930,20.8
1763136686.5515952,15850,20.8
1763136691.551763,15820,20.79
1763136696.5519054,15780,20.79
1763136701.5518293,15740,20.79
1763136706.552674,15610,20.81
1763136711.5525737,15570,20.8
1763136716.560022,15520,20.79
1763136721.5562668,15480,20.8
1763136726.561645,15360,20.8
1763136731.5579505,15230,20.79
1763136736.5571659,15110,20.81
1763136741.5576718,15000,20.81
1763136746.5577323,14850,20.81
1763136751.5593667,14730,20.8
1763136756.5637994,14620,20.81
1763136761.557912,14460,20.81
1763136766.5580401,14200,20.81
1763136771.5580838,13930,20.81
1763136776.558495,13840,20.81
1763136781.558259,13810,20.81
1763136786.558342,13810,20.81
1763136791.5616899,13590,20.81
1763136796.5597553,13400,20.82
1763136801.5669525,13200,20.82
1763136806.5598938,13140,20.81
1763136811.5599957,13000,20.81
1763136816.560195,12910,20.81
1763136821.5602977,12880,20.81
1763136826.5615103,12830,20.82
1763136831.5623882,12700,20.83
1763136836.5624754,12660,20.81
1763136841.5626702,12610,20.81
1763136846.564471,12570,20.81
1763136851.627835,12510,20.81
1763136856.5667267,12480,20.81
1763136861.5667734,12380,20.81
1763136866.5767052,12230,20.81
1763136871.5669532,12190,20.82
1763136876.5670156,12160,20.84
1763136881.567086,12100,20.85
1763136886.5671895,11990,20.82
1763136891.5676935,11960,20.81
1763136896.5673013,11880,20.82
1763136901.5684516,11840,20.83
1763136906.660314,11810,20.83
1763136911.5849378,11780,20.84
1763136916.568229,11740,20.83
1763136921.5707567,11720,20.82
1763136926.570523,11640,20.83
1763136931.5750313,11630,20.84
1763136936.5706744,11600,20.83
1763136941.573713,11560,20.83
1763136946.5712616,11490,20.83
1763136951.5744498,11470,20.83
1763136956.5714374,11430,20.85
1763136961.571529,11400,20.84
1763136966.5716364,11380,20.84
1763136971.571809,11340,20.83
1763136976.5737503,11260,20.83
1763136981.5718353,11240,20.83
1763136986.5803487,11220,20.84
1763136991.5732918,11210,20.84
1763136996.575979,11120,20.85
1763137001.5734315,11080,20.86
1763137006.5739717,11060,20.86
1763137011.5737944,11050,20.84
1763137016.5760899,11020,20.84
1763137021.5739617,10990,20.83
1763137026.5782561,10990,20.83
1763137031.575323,10960,20.83
1763137036.5823538,10920,20.85
1763137041.5756407,10890,20.87
1763137046.5766149,10870,20.86
1763137051.5760214,10850,20.85
1763137056.5795069,10850,20.84
1763137061.576257,10820,20.84
1763137066.578675,10730,20.85
1763137071.578639,10690,20.85
1763137076.5815792,10640,20.86
1763137081.5791962,10640,20.86
1763137086.5832758,10630,20.87
1763137091.5807571,10620,20.83
1763137096.5812528,10600,20.85
1763137101.5809062,10600,20.86
1763137106.581059,10580,20.85
1763137111.5811064,10560,20.85
1763137116.5842478,10550,20.86
1763137121.581243,10540,20.86
1763137126.5854266,10540,20.86
1763137131.5847075,10520,20.87
1763137136.5865529,10480,20.86
1763137141.5848842,10480,20.87
1763137146.5850236,10460,20.86
1763137151.5850723,10430,20.85
1763137156.5892735,10420,20.86
1763137161.585228,10410,20.87
1763137166.5867443,10390,20.89
1763137171.5863576,10370,20.88
1763137176.5960479,10350,20.86
1763137181.5863898,10350,20.84
1763137186.5874674,10370,20.85
1763137191.587316,10320,20.87
1763137196.591177,10300,20.88
1763137201.5874283,10280,20.88
1763137206.5882256,10300,20.85
1763137211.5877693,10300,20.87
1763137216.6046953,10290,20.88
1763137221.5881927,10270,20.88
1763137226.587981,10250,20.88
1763137231.5880527,10230,20.88
1763137236.5883405,10230,20.88
1763137241.5910797,10240,20.87
1763137246.5884495,10250,20.86
1763137251.588549,10240,20.85
1763137256.5886188,10230,20.87
1763137261.58875,10220,20.87
1763137266.5895379,10220,20.86
1763137271.5888383,10220,20.87
1763137276.5897417,10220,20.87
1763137281.5894394,10230,20.85
1763137286.590472,10240,20.87
1763137291.5907843,10230,20.86
1763137296.5896695,10230,20.86
1763137301.5936215,10230,20.87
1763137306.5906332,10230,20.87
1763137311.592001,10240,20.87
1763137316.596198,10250,20.88
1763137321.5908723,10230,20.85
1763137326.5953107,10230,20.85
1763137331.5958507,10220,20.87
1763137336.5944116,10210,20.88
1763137341.593215,10190,20.86
1763137346.5933254,10180,20.85
1763137351.5933979,10150,20.87
1763137356.5935106,10140,20.87
1763137361.595135,10090,20.87
1763137366.593629,9990,20.87
1763137371.5952795,9920,20.86
1763137376.5941677,9850,20.87
1763137381.595208,9780,20.88
1763137386.594302,9780,20.87
1763137391.5943635,9770,20.88
1763137396.5944436,9760,20.89
1763137401.5946643,9770,20.88
1763137406.5989535,9770,20.87
1763137411.59468,9770,20.88
1763137416.6004817,9750,20.88
1763137421.597714,9730,20.88
1763137426.599948,9730,20.87
1763137431.597846,9730,20.87
1763137436.5979352,9730,20.89
1763137441.6021576,9710,20.88
1763137446.5981336,9710,20.88
1763137451.606251,9680,20.88
1763137456.5982673,9710,20.88
1763137461.5985622,9700,20.87
1763137466.5986252,9690,20.88
1763137471.5987856,9680,20.88
1763137476.6010647,9660,20.89
1763137481.5988603,9650,20.87
1763137486.5990028,9650,20.84
1763137491.599029,9660,20.87
1763137496.599738,9660,20.87
1763137501.599169,9670,20.88
1763137506.5992692,9690,20.88
1763137511.6010203,9700,20.88
1763137516.600229,9710,20.88
1763137521.6154206,9720,20.88
1763137526.6003451,9730,20.87
1763137531.6010814,9730,20.88
1763137536.6007934,9730,20.88
1763137541.604029,9720,20.88
1763137546.6009693,9730,20.89
1763137551.6011164,9740,20.88
1763137556.6011646,9760,20.88
1763137561.604243,9790,20.88
1763137566.6012735,9820,20.88
1763137571.6014848,9840,20.89
1763137576.6014729,9850,20.89
1763137581.6021366,9870,20.89
1763137586.6032124,9870,20.88
1763137591.6017268,9870,20.89
1763137596.613688,9890,20.88
1763137601.6123497,9890,20.88
1763137606.6137402,9910,20.88
1763137611.6124887,9910,20.87
1763137616.6163378,9910,20.87
1763137621.6164691,9910,20.87
1763137626.620252,9930,20.88
1763137631.619422,9910,20.88
1763137636.6168644,9910,20.88
1763137641.6170945,9890,20.88
1763137646.6177635,9890,20.87
1763137651.6209834,9910,20.88
1763137656.6171243,9910,20.88
1763137661.6171482,9930,20.88
1763137666.620546,9930,20.88
1763137671.6172945,9930,20.87
1763137676.6190534,9930,20.87
1763137681.6176164,9940,20.87
1763137686.617955,9960,20.87
1763137691.617783,9970,20.87
1763137696.6209354,9980,20.88
1763137701.6204615,9990,20.87
1763137706.6222832,10010,20.87
1763137711.6205719,10020,20.87
1763137716.6218626,10050,20.87
1763137721.6208532,10070,20.88
