time,CO2_ppm,O2_percent
1763128237.5623012,1560,20.75
1763128242.5668306,1570,20.76
1763128247.5623758,1570,20.86
1763128252.5625656,1580,21.24
1763128257.5626059,3600,21.03
1763128262.562536,7080,20.91
1763128267.5626001,11460,20.89
1763128272.5647957,13660,20.88
1763128277.5627162,16120,20.88
1763128282.563471,17260,20.87
1763128287.5630057,18530,20.85
1763128292.562949,19050,20.85
1763128297.5631683,19600,20.85
1763128302.5632322,19950,20.83
1763128307.5647795,20620,20.82
1763128312.5654993,20890,20.81
1763128317.5636053,20890,20.81
1763128322.5635579,21050,20.81
1763128327.5636928,21310,20.81
1763128332.5662227,21390,20.81
1763128337.5637302,21550,20.8
1763128342.5637867,21690,20.8
1763128347.5639613,21790,20.8
1763128352.5639532,21950,20.79
1763128357.5640182,21930,20.79
1763128362.5650804,21910,20.77
1763128367.5641768,22040,20.77
1763128372.5642407,22160,20.77
1763128377.5648587,22260,20.74
1763128382.5645182,22530,20.74
1763128387.5645888,22740,20.74
1763128392.5650322,22950,20.74
1763128397.5647414,23220,20.74
1763128402.5649238,23520,20.73
1763128407.564901,23730,20.74
1763128412.5649707,24000,20.73
1763128417.5660362,24110,20.73
1763128422.5651104,24280,20.73
1763128427.5827315,24350,20.72
1763128432.5652895,24010,20.71
1763128437.5653481,24160,20.71
1763128442.5687516,23930,20.71
1763128447.5655127,23810,20.71
1763128452.6700282,23580,20.72
1763128457.5687358,23360,20.71
1763128462.5688121,22900,20.71
1763128467.56886,22860,20.68
1763128472.5744538,22790,20.67
1763128477.5690105,22790,20.68
1763128482.5690625,22720,20.7
1763128487.56914,22690,20.73
1763128492.5721188,22720,20.72
1763128497.5713007,22770,20.7
1763128502.5726643,22870,20.7
1763128507.5729613,22870,20.69
1763128512.571653,22900,20.71
1763128517.5716088,22900,20.71
1763128522.5717428,22930,20.69
1763128527.5717685,22940,20.69
1763128532.5718231,22990,20.69
1763128537.5723884,22990,20.68
1763128542.5725822,22970,20.69
1763128547.5720184,22920,20.71
1763128552.5728092,22880,20.69
1763128557.5725677,22870,20.66
1763128562.5726259,22820,20.68
1763128567.5769875,22780,20.71
1763128572.5764346,22710,20.67
1763128577.5728369,22610,20.68
1763128582.5733042,22480,20.67
1763128587.5730958,22460,20.7
1763128592.573168,22300,20.72
1763128597.5743432,22110,20.69
1763128602.573289,22060,20.7
1763128607.573366,21900,20.72
1763128612.5758855,21720,20.71
1763128617.5755227,21540,20.72
1763128622.577801,21500,20.72
1763128627.5758812,21430,20.72
1763128632.575733,21320,20.72
1763128637.5779443,21240,20.72
1763128642.5771618,21150,20.73
1763128647.6567354,21090,20.72
1763128652.5777848,20910,20.7
1763128657.5773544,20800,20.72
1763128662.57767,20580,20.73
1763128667.5776315,20480,20.73
1763128672.5853798,20340,20.72
