time,CO2_ppm,O2_percent
1763117427.3008125,44680,20.37
1763117432.30388,44730,20.37
1763117437.3008335,44850,20.38
1763117442.3012402,44860,20.39
1763117447.301005,44940,20.37
1763117452.3093426,44980,20.38
1763117457.3010893,45040,20.37
1763117462.3079524,45060,20.36
1763117467.30727,45070,20.35
1763117472.30744,45030,20.35
1763117477.3103373,45070,20.36
1763117482.3074965,45070,20.36
1763117487.3076293,45110,20.36
1763117492.3076499,45140,20.35
1763117497.3089402,45130,20.36
1763117502.3087208,45200,20.35
1763117507.3078592,45210,20.36
1763117512.308772,45150,20.36
1763117517.3085,45140,20.35
1763117522.308656,45100,20.36
1763117527.3086255,45080,20.36
1763117532.3086946,45040,20.36
1763117537.3087761,45030,20.36
1763117542.3088498,44990,20.36
1763117547.328725,44990,20.36
1763117552.3089998,44940,20.37
1763117557.3147125,44940,20.36
1763117562.3096282,44880,20.37
1763117567.313997,44860,20.35
1763117572.3097618,44820,20.36
1763117577.3098981,44720,20.36
1763117582.3099542,44620,20.36
1763117587.3134491,44530,20.37
1763117592.3161485,44260,20.36
1763117597.3101602,44110,20.38
1763117602.31024,43870,20.38
1763117607.310297,43810,20.38
1763117612.3613625,43610,20.39
1763117617.310452,43590,20.39
1763117622.3105896,43640,20.38
1763117627.3106074,43580,20.38
1763117632.3140547,43570,20.39
1763117637.313678,43580,20.39
1763117642.3108242,43580,20.38
1763117647.310873,43540,20.37
1763117652.310952,43630,20.38
1763117657.312061,43600,20.39
1763117662.3110862,43620,20.38
1763117667.311164,43640,20.39
1763117672.3161178,43720,20.39
1763117677.3138967,43690,20.38
1763117682.3158922,43700,20.39
1763117687.3141181,43700,20.39
1763117692.3140974,43690,20.39
1763117697.3142269,43670,20.39
1763117702.3142798,43690,20.38
1763117707.314332,43700,20.38
1763117712.3229063,43750,20.38
1763117717.3144593,43780,20.37
1763117722.314524,43780,20.36
1763117727.3191044,43820,20.37
1763117732.3148599,43870,20.37
1763117737.3186412,43790,20.39
1763117742.3149986,43700,20.38
1763117747.3150728,43690,20.38
1763117752.3173947,43620,20.37
1763117757.3170147,43460,20.38
1763117762.31775,43170,20.39
1763117767.31715,43100,20.39
1763117772.3172095,43030,20.4
1763117777.31727,42950,20.4
1763117782.3173363,42870,20.41
1763117787.3194702,42840,20.41
1763117792.3174763,42840,20.41
1763117797.3199072,42800,20.42
1763117802.3197489,42800,20.41
1763117807.3243554,42860,20.41
1763117812.31989,42810,20.4
1763117817.319967,42750,20.4
1763117822.3215246,42740,20.4
1763117827.320911,42700,20.4
1763117832.3275702,42700,20.4
1763117837.3210464,42730,20.4
1763117842.322453,42780,20.4
1763117847.3217785,42750,20.41
1763117852.3522835,42750,20.4
1763117857.3219159,42760,20.4
1763117862.3220532,42750,20.41
1763117867.3220828,42780,20.4
1763117872.3221664,42780,20.38
1763117877.3239303,42780,20.39
1763117882.3223002,42780,20.41
1763117887.3223598,42790,20.4
1763117892.3249934,42790,20.4
1763117897.32454,42800,20.39
1763117902.3246005,42810,20.39
1763117907.326452,42760,20.41
1763117912.3247497,42740,20.41
1763117917.32482,42710,20.41
1763117922.3260734,42690,20.4
1763117927.325677,42650,20.39
1763117932.325844,42600,20.39
1763117937.326181,42570,20.4
1763117942.3258944,42500,20.41
1763117947.3260376,42430,20.41
1763117952.326072,42370,20.4
1763117957.3281698,42230,20.41
1763117962.32737,42070,20.41
1763117967.3264673,42090,20.42
1763117972.326339,42090,20.41
1763117977.3280509,42080,20.42
1763117982.3278446,42090,20.42
1763117987.328011,42070,20.41
1763117992.3329499,42070,20.41
1763117997.3280537,42080,20.42
1763118002.3281279,42090,20.42
1763118007.330392,42110,20.4
1763118012.3300824,42110,20.41
1763118017.3342798,42130,20.41
1763118022.3302183,42150,20.41
1763118027.3302953,42120,20.41
1763118032.3327096,42120,20.4
1763118037.3304873,42140,20.41
1763118042.3334036,42150,20.4
1763118047.3306103,42140,20.42
1763118052.3306706,42150,20.41
1763118057.3311,42150,20.41
1763118062.3308442,42170,20.4
1763118067.3355212,42170,20.4
1763118072.3309717,42140,20.41
1763118077.331053,42130,20.41
1763118082.3311474,42120,20.41
1763118087.3312173,42090,20.41
1763118092.3314579,42090,20.41
1763118097.3313446,42110,20.41
1763118102.3322093,42060,20.41
1763118107.3318012,41960,20.4
1763118112.3330142,41820,20.41
1763118117.331963,41750,20.41
1763118122.3320777,41600,20.42
1763118127.3321068,41490,20.41
1763118132.332284,41340,20.41
1763118137.3326793,41230,20.42
1763118142.3323085,41060,20.42
1763118147.332882,41000,20.42
1763118152.332641,40940,20.43
1763118157.3614805,40950,20.43
1763118162.3327732,41010,20.42
1763118167.3328748,41060,20.42
1763118172.3329377,41110,20.42
1763118177.3333979,41180,20.42
1763118182.3330603,41250,20.42
1763118187.3332407,41250,20.42
1763118192.3402808,41260,20.42
1763118197.339766,41340,20.41
1763118202.3478053,41390,20.41
1763118207.339915,41360,20.41
1763118212.340051,41350,20.42
1763118217.3400724,41250,20.42
1763118222.3415158,41320,20.42
1763118227.340237,41410,20.42
1763118232.3402934,41540,20.42
1763118237.3431332,41540,20.42
1763118242.3409083,41550,20.42
1763118247.3427732,41520,20.42
1763118252.3410294,41490,20.41
1763118257.342107,41470,20.42
1763118262.3447556,41490,20.41
1763118267.3424697,41510,20.42
1763118272.3419125,41520,20.42
1763118277.3443382,41540,20.42
1763118282.344174,41440,20.41
1763118287.3462143,41350,20.41
1763118292.344287,41140,20.42
1763118297.3449488,41050,20.41
1763118302.3446462,40980,20.42
1763118307.3576205,40900,20.42
1763118312.3447654,40740,20.42
1763118317.3448424,40690,20.42
1763118322.3506935,40570,20.42
1763118327.3479195,40540,20.42
1763118332.348061,40570,20.43
1763118337.3507438,40580,20.43
1763118342.3481154,40670,20.42
1763118347.3481774,40740,20.42
1763118352.3503587,40800,20.42
1763118357.3499055,40800,20.42
1763118362.349973,40800,20.42
1763118367.3532786,40800,20.42
1763118372.3501182,40740,20.42
1763118377.350188,40800,20.42
1763118382.3521938,40830,20.42
1763118387.351861,40890,20.42
1763118392.356513,40990,20.41
1763118397.3520072,41000,20.42
1763118402.3520803,41080,20.42
1763118407.3551185,41150,20.42
1763118412.3549232,41180,20.42
1763118417.3549833,41150,20.42
1763118422.3619564,41130,20.42
1763118427.3623734,41060,20.42
1763118432.3552022,41080,20.42
1763118437.3605986,41090,20.42
1763118442.3598444,41100,20.41
1763118447.3606448,41160,20.42
1763118452.3602648,41150,20.42
1763118457.3600357,41130,20.42
1763118462.3837233,41090,20.41
1763118467.3607845,41010,20.42
1763118472.360851,41030,20.42
1763118477.3668013,40930,20.42
1763118482.3609974,40850,20.42
1763118487.361049,40720,20.42
1763118492.3626876,40520,20.43
1763118497.3615818,40330,20.42
1763118502.3617268,40380,20.43
1763118507.363038,40500,20.42
1763118512.3618186,40510,20.43
1763118517.3641813,40500,20.44
1763118522.3651817,40520,20.43
1763118527.3654442,40620,20.42
1763118532.3686929,40640,20.42
1763118537.3653972,40680,20.42
1763118542.3660195,40720,20.43
1763118547.3657184,40830,20.42
1763118552.3671873,40870,20.42
1763118557.3658617,40890,20.42
1763118562.3659298,40890,20.42
1763118567.3672376,40900,20.42
1763118572.3665898,40920,20.42
1763118577.3679142,40900,20.42
1763118582.3667421,40890,20.42
1763118587.3668146,40900,20.42
1763118592.3671181,40920,20.42
1763118597.3670099,40900,20.42
1763118602.3671858,40930,20.42
1763118607.367451,40920,20.42
1763118612.367249,40920,20.42
1763118617.3693635,40930,20.42
1763118622.368747,40930,20.42
1763118627.373711,40920,20.42
1763118632.3688738,40880,20.42
1763118637.3689282,40850,20.42
1763118642.3691533,40840,20.43
1763118647.3691428,40800,20.42
1763118652.370414,40720,20.42
1763118657.3716118,40630,20.42
1763118662.3725662,40520,20.42
1763118667.3741293,40330,20.42
1763118672.3697958,40170,20.42
1763118677.373485,40080,20.42
1763118682.369932,40020,20.43
1763118687.3700004,40050,20.42
1763118692.3704026,40060,20.43
1763118697.3704214,40080,20.43
1763118702.375447,40080,20.43
1763118707.3705487,40150,20.43
1763118712.370618,40170,20.42
1763118717.3706954,40200,20.42
1763118722.370763,40270,20.42
1763118727.3759446,40300,20.42
1763118732.3708956,40380,20.42
1763118737.3710341,40470,20.43
1763118742.3710346,40530,20.42
1763118747.3711064,40510,20.42
1763118752.371964,40540,20.42
1763118757.3712528,40560,20.42
1763118762.372224,40610,20.42
1763118767.396087,40620,20.42
1763118772.3721018,40620,20.42
1763118777.3813457,40610,20.42
1763118782.3721352,40620,20.42
1763118787.3729675,40650,20.42
1763118792.3724554,40780,20.42
1763118797.373009,40850,20.42
1763118802.3730164,40880,20.42
1763118807.3726552,40880,20.42
1763118812.3825297,40870,20.42
1763118817.3851964,40800,20.42
1763118822.3897576,40740,20.42
1763118827.3853474,40710,20.42
1763118832.3854792,40610,20.42
1763118837.3855028,40570,20.42
1763118842.3880959,40460,20.42
1763118847.3856695,40420,20.42
1763118852.3858027,40360,20.42
1763118857.3858228,40260,20.42
1763118862.38849,40240,20.43
1763118867.3888633,40210,20.43
1763118872.386028,40200,20.43
1763118877.3869612,40280,20.43
1763118882.3861928,40290,20.43
1763118887.3873618,40340,20.42
1763118892.3863373,40390,20.43
1763118897.3864782,40480,20.43
1763118902.3865,40510,20.43
1763118907.3866885,40550,20.43
1763118912.3869967,40590,20.42
1763118917.3867028,40670,20.42
1763118922.3902214,40710,20.42
1763118927.3897927,40760,20.42
1763118932.3912337,40850,20.42
1763118937.38992,40860,20.42
1763118942.3899758,40830,20.42
1763118947.392213,40860,20.42
1763118952.39198,40920,20.42
1763118957.392257,40900,20.42
1763118962.3921497,40850,20.42
1763118967.3921804,40890,20.42
1763118972.3922484,40890,20.42
1763118977.3923242,40880,20.42
1763118982.3947074,40870,20.42
1763118987.3924587,40830,20.42
1763118992.393352,40800,20.42
1763118997.3930109,40790,20.42
1763119002.396979,40780,20.43
1763119007.3931594,40720,20.42
1763119012.3953247,40600,20.42
1763119017.3938458,40570,20.42
1763119022.3989813,40420,20.43
1763119027.3940105,40270,20.42
1763119032.4568167,40180,20.43
1763119037.4717968,40110,20.43
1763119042.3983,39990,20.43
1763119047.3943036,40060,20.43
1763119052.3943803,40160,20.43
1763119057.3944573,40130,20.43
1763119062.3949096,40160,20.43
1763119067.3955808,40210,20.43
1763119072.417818,40230,20.43
1763119077.3947403,40250,20.42
1763119082.3948119,40290,20.42
1763119087.3954294,40390,20.42
1763119092.394954,40390,20.43
1763119097.3968663,40460,20.42
1763119102.3959894,40550,20.42
1763119107.4022534,40570,20.42
1763119112.3961387,40600,20.42
1763119117.401035,40640,20.43
1763119122.3986833,40640,20.43
1763119127.3992481,40660,20.43
1763119132.3988445,40710,20.42
1763119137.3989763,40710,20.42
1763119142.4026732,40690,20.43
1763119147.3992188,40700,20.42
1763119152.3992283,40710,20.42
1763119157.3992486,40760,20.42
1763119162.4001613,40800,20.42
1763119167.4001858,40780,20.43
1763119172.4158516,40780,20.42
1763119177.400092,40750,20.42
1763119182.4005713,40650,20.42
1763119187.4004586,40570,20.42
1763119192.400434,40360,20.43
1763119197.4075918,40280,20.43
1763119202.4005792,40240,20.42
1763119207.4025867,40150,20.42
1763119212.4022446,40110,20.42
1763119217.404908,40080,20.43
1763119222.4023848,40060,20.43
1763119227.4025002,40050,20.43
1763119232.4025242,40040,20.43
1763119237.4026835,40080,20.43
1763119242.4033227,40140,20.43
1763119247.4027271,40240,20.43
1763119252.403886,40250,20.43
1763119257.4030805,40320,20.43
1763119262.403834,40340,20.42
1763119267.403226,40400,20.43
1763119272.4083228,40450,20.43
1763119277.4064026,40470,20.43
1763119282.407429,40540,20.42
1763119287.406573,40550,20.43
1763119292.4091058,40560,20.42
1763119297.4067404,40570,20.43
1763119302.4069562,40610,20.42
1763119307.4068801,40690,20.42
1763119312.406963,40690,20.42
1763119317.4070308,40690,20.42
1763119322.4071088,40670,20.42
1763119327.4077277,40690,20.43
1763119332.4072626,40700,20.43
1763119337.4079785,40740,20.42
1763119342.40762,40760,20.42
1763119347.4077764,40760,20.42
1763119352.4082606,40610,20.42
1763119357.4078286,40520,20.42
1763119362.4085622,40340,20.42
1763119367.4085963,40230,20.42
1763119372.4091651,40100,20.43
