time,CO2_ppm,O2_percent
1763130197.6982067,11300,20.84
1763130202.7050624,11460,20.85
1763130207.69803,11560,20.85
1763130212.7020416,11650,20.83
1763130217.7017114,11720,20.84
1763130222.7031949,11780,20.84
1763130227.701869,11840,20.84
1763130232.701904,11920,20.82
1763130237.710052,11960,20.81
1763130242.7024996,11950,20.82
1763130247.7106318,11980,20.82
1763130252.7026322,12010,20.82
1763130257.7026813,12010,20.82
1763130262.7047603,11980,20.82
1763130267.719766,11990,20.82
1763130272.7042873,12040,20.82
1763130277.7030046,12040,20.81
1763130282.703056,12050,20.82
1763130287.7093275,12070,20.82
1763130292.7090328,12120,20.82
1763130297.7096913,12160,20.82
1763130302.7091758,12230,20.82
1763130307.7092319,12340,20.81
1763130312.7176256,12520,20.81
1763130317.7132792,12580,20.81
1763130322.7152662,12750,20.8
1763130327.7134185,12790,20.8
1763130332.7134867,13020,20.81
1763130337.7135692,13070,20.81
1763130342.7137785,13220,20.81
1763130347.715899,13310,20.81
1763130352.713787,13370,20.8
1763130357.7138484,13370,20.81
1763130362.713943,13380,20.81
1763130367.714205,13400,20.81
1763130372.7140725,13410,20.81
1763130377.716172,13440,20.81
1763130382.7160811,13430,20.81
1763130387.7293715,13430,20.8
1763130392.7162023,13420,20.8
1763130397.7162697,13410,20.81
1763130402.716352,13300,20.81
1763130407.7164135,13310,20.81
1763130412.7166026,13330,20.81
1763130417.7165616,13330,20.81
1763130422.7166328,13310,20.81
1763130427.7184954,13280,20.81
1763130432.7175744,13270,20.81
1763130437.7176876,13220,20.8
1763130442.7199266,13250,20.81
