time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C
1763739660.7994218,520,650,21.26,23.687
1763739665.6314397,520,650,21.2,23.75
1763739670.623398,520,650,21.06,23.687
1763739675.615419,520,650,20.97,23.75
1763739680.6074147,520,650,20.9,23.687
1763739685.6314847,520,650,20.82,23.75
1763739690.623391,520,650,20.88,23.75
1763739695.6154177,520,650,20.9,23.75
1763739700.6074283,520,640,20.92,23.75
1763739705.6320095,520,650,20.95,23.75
1763739710.6234303,510,650,20.94,23.75
1763739715.6154423,510,650,20.94,23.687
1763739720.6074328,510,660,20.95,23.75
1763739725.631507,510,650,21.14,23.687
1763739730.6234033,510,650,21.1,23.75
1763739735.615427,510,650,21.01,23.687
1763739740.7035391,510,650,20.96,23.75
1763739745.6954572,510,660,20.95,23.75
1763739750.6234212,510,670,20.96,23.687
1763739755.6194792,510,660,20.96,23.687
1763739760.6394377,510,670,20.96,23.687
1763739765.6314209,510,670,20.96,23.75
1763739770.6234307,510,670,20.97,23.687
1763739775.615406,510,680,20.97,23.687
1763739780.6394804,510,670,20.97,23.687
1763739785.6314108,500,670,21.19,23.687
1763739790.623416,500,670,21.12,23.687
1763739795.6154666,500,670,21.03,23.687
1763739800.6394346,500,670,21.02,23.687
1763739805.6314154,500,670,20.97,23.687
1763739810.623406,500,660,20.97,23.687
1763739815.6154509,500,660,20.98,23.75
1763739820.671414,500,660,20.97,23.687
1763739825.631438,500,650,20.98,23.687
1763739830.6874678,500,650,20.99,23.687
1763739835.6154044,500,650,21.01,23.687
1763739840.639455,500,650,21.01,23.687
1763739845.6314237,500,650,21.19,23.687
1763739850.6234121,500,660,21.12,23.687
1763739855.6154678,510,660,21.04,23.687
