time,CO2_ppm,O2_percent
1763115692.2738528,26970,20.5
1763115697.2767785,26890,20.59
1763115702.2737362,27040,20.63
1763115707.276532,27270,20.64
1763115712.274404,27550,20.63
1763115717.2748687,27730,20.62
1763115722.27452,28130,20.62
1763115727.2746687,28270,20.62
1763115732.2795012,28300,20.61
1763115737.2889194,28320,20.6
1763115742.2801611,28460,20.59
1763115747.282719,28480,20.59
1763115752.2790272,28530,20.59
1763115757.2802658,28580,20.59
1763115762.2798629,28560,20.59
1763115767.284592,28570,20.58
1763115772.279994,28580,20.59
1763115777.2800515,28570,20.58
1763115782.2804744,28600,20.59
1763115787.280511,28620,20.58
1763115792.2808504,28620,20.59
1763115797.2823787,28630,20.58
1763115802.2807558,28660,20.58
1763115807.286883,28690,20.58
1763115812.281446,28720,20.58
1763115817.2816088,28790,20.58
1763115822.2817936,28790,20.58
1763115827.2816744,28790,20.58
1763115832.2872128,28780,20.58
1763115837.2867239,28810,20.58
1763115842.2930403,28800,20.59
1763115847.289678,28780,20.58
1763115852.2870088,28780,20.58
1763115857.287053,28770,20.58
1763115862.287263,28880,20.58
1763115867.2899015,28900,20.58
1763115872.2872436,28960,20.58
1763115877.2879834,28990,20.58
1763115882.287738,29030,20.59
1763115887.2878501,29030,20.58
1763115892.287886,28990,20.58
1763115897.2887,29000,20.58
1763115902.288573,28990,20.58
1763115907.288718,28950,20.58
1763115912.2887144,28930,20.58
1763115917.2888308,28860,20.58
1763115922.295359,28780,20.58
1763115927.2898185,28730,20.58
1763115932.2961648,28760,20.58
1763115937.289934,28760,20.58
1763115942.2900164,28730,20.58
1763115947.2926157,28720,20.58
1763115952.2913318,28700,20.58
1763115957.3013227,28710,20.58
1763115962.291435,28680,20.58
1763115967.2915173,28620,20.58
1763115972.2946901,28660,20.58
1763115977.2921011,28710,20.58
1763115982.2922606,28700,20.58
1763115987.2946427,28700,20.58
1763115992.2923036,28720,20.58
1763115997.2952216,28730,20.58
1763116002.2929566,28740,20.58
1763116007.2978814,28740,20.58
1763116012.2935522,28750,20.58
1763116017.2931628,28730,20.58
1763116022.293915,28720,20.58
1763116027.2935555,28710,20.58
1763116032.293705,28700,20.58
1763116037.2982216,28670,20.58
1763116042.3160594,28650,20.58
1763116047.2987678,28590,20.58
1763116052.2976985,28510,20.58
1763116057.3028677,28440,20.59
1763116062.2978356,28310,20.58
1763116067.3012538,28300,20.58
1763116072.298777,28210,20.58
