time,CO2_ppm,O2_percent
1763128909.554615,17290,20.75
1763128914.5572157,17290,20.76
1763128919.5539715,17290,20.76
1763128924.5549855,17290,20.75
1763128929.5546086,17290,20.75
1763128934.5562367,17290,20.75
1763128939.5547464,17270,20.75
1763128944.5550265,17280,20.76
1763128949.5556862,17280,20.75
1763128954.5560277,17270,20.74
1763128959.5550835,17260,20.74
1763128964.5551627,17270,20.75
1763128969.5591335,17290,20.76
1763128974.5571492,17320,20.74
1763128979.5658987,17310,20.75
1763128984.5572977,17300,20.74
1763128989.5588183,17310,20.74
1763128994.5582635,17290,20.75
1763128999.5584447,17280,20.75
1763129004.5584893,17290,20.75
1763129009.5584867,17270,20.75
1763129014.5587168,17220,20.74
1763129019.558692,17190,20.74
1763129024.5588017,17140,20.74
1763129029.5904064,17050,20.75
1763129034.5588923,16900,20.75
1763129039.5590744,16830,20.75
1763129044.55912,16690,20.76
