time,CO2_ppm,O2_percent
1763134461.9319062,8590,20.8
1763134466.9327097,8550,20.85
1763134471.9356208,8960,21.21
1763134476.9356768,11780,21.04
1763134481.9357255,14750,20.96
1763134486.9394796,15690,20.9
1763134491.935852,16460,20.88
1763134496.9359813,16530,20.87
1763134501.9359841,16750,20.85
1763134506.9367301,16960,20.83
1763134511.93644,17100,20.83
1763134516.9361904,17010,20.82
1763134521.9448423,17040,20.81
1763134526.9444776,17040,20.82
1763134531.949727,17100,20.81
1763134536.9446464,17130,20.81
1763134541.9501586,17220,20.8
1763134546.9496412,17310,20.8
1763134551.9515843,17540,20.79
1763134556.9505768,17680,20.8
1763134561.9498596,18060,20.8
1763134566.9518955,18100,20.79
1763134571.951686,18220,20.78
1763134576.9572577,18300,20.77
1763134581.9518056,18360,20.76
1763134586.953071,18420,20.75
1763134591.9562254,18380,20.78
1763134596.9650784,18290,20.77
1763134601.9563634,18190,20.77
1763134606.9565017,18020,20.79
1763134611.9565282,17890,20.79
1763134616.9583762,17400,20.78
1763134621.9613361,17100,20.8
1763134626.9568174,16650,20.79
1763134631.9950917,16290,20.8
1763134636.957472,15830,20.8
1763134641.956993,15680,20.8
1763134646.9570234,15630,20.79
1763134651.9589868,15600,20.81
1763134656.9580495,15490,20.81
1763134661.960345,15340,20.8
1763134666.9581158,15250,20.8
1763134671.9581807,15220,20.8
1763134676.9584062,15080,20.8
1763134681.9587016,15010,20.81
1763134686.9583988,14880,20.81
1763134691.95981,14730,20.81
1763134696.9595225,14510,20.81
1763134701.959954,14420,20.81
1763134706.9599175,14160,20.81
1763134711.9597557,13990,20.81
1763134716.9638166,13780,20.81
1763134721.9632475,13710,20.81
1763134726.963534,13670,20.81
1763134731.9640696,13580,20.81
1763134736.9634748,13550,20.81
1763134741.9635198,13440,20.83
1763134746.9636664,13260,20.82
1763134751.9676704,13170,20.83
1763134756.9641252,13100,20.82
1763134761.964099,13050,20.81
1763134766.9739695,12910,20.81
1763134771.9641156,12810,20.83
1763134776.9642394,12640,20.83
1763134781.9645972,12550,20.84
1763134786.9649928,12330,20.84
1763134791.9683573,12250,20.82
1763134796.9731731,12240,20.83
1763134801.9729607,12170,20.83
1763134806.983067,12130,20.84
1763134811.973069,12110,20.82
1763134816.9731324,12030,20.83
1763134821.9737656,11990,20.83
1763134826.9811606,11940,20.85
1763134831.9738462,11920,20.86
1763134836.9738667,11830,20.86
1763134841.975027,11770,20.85
1763134846.9746504,11650,20.85
1763134851.9743533,11630,20.86
1763134856.9792213,11590,20.85
1763134861.976328,11550,20.85
1763134866.9764283,11460,20.85
1763134871.976417,11410,20.86
1763134876.97648,11370,20.86
1763134881.9767165,11360,20.83
1763134886.9772868,11320,20.83
1763134891.9768598,11240,20.86
1763134896.9768796,11230,20.87
1763134901.978923,11180,20.87
1763134906.9770093,11140,20.84
1763134911.9772048,11100,20.84
1763134916.9772243,11050,20.84
1763134921.9773066,11010,20.86
1763134926.9804027,11000,20.87
1763134931.977399,10970,20.87
1763134937.0098186,10950,20.87
1763134941.9775896,10880,20.87
1763134946.9776537,10870,20.87
1763134951.983758,10800,20.87
1763134956.977814,10820,20.87
1763134961.977942,10780,20.86
1763134966.9806962,10760,20.84
1763134971.9780736,10740,20.86
1763134976.9835172,10730,20.87
1763134981.978201,10690,20.87
1763134986.978533,10660,20.86
1763134991.9784207,10640,20.87
1763134996.9789803,10620,20.85
1763135001.9787824,10570,20.87
1763135006.97865,10590,20.88
1763135011.9787254,10590,20.88
1763135016.9788888,10570,20.88
1763135021.986132,10570,20.87
1763135026.9789295,10530,20.87
1763135031.9790828,10480,20.87
1763135036.9791138,10460,20.87
1763135041.9793813,10430,20.86
1763135046.9797547,10430,20.86
1763135051.979335,10380,20.87
1763135056.9835627,10340,20.87
1763135061.983351,10300,20.88
1763135066.984231,10280,20.88
1763135071.9834673,10260,20.86
1763135076.9840589,10250,20.87
1763135081.9837193,10210,20.88
1763135086.988717,10170,20.87
1763135091.9838967,10140,20.87
1763135096.983966,10130,20.87
1763135101.984021,10090,20.87
1763135106.9841785,10070,20.86
1763135111.9859064,10030,20.87
1763135116.9842274,10010,20.85
1763135121.987871,9940,20.86
1763135126.9879348,9910,20.87
1763135131.9914134,9890,20.88
1763135136.9880936,9900,20.88
1763135141.9955485,9870,20.88
1763135146.99511,9870,20.87
1763135151.9977856,9830,20.87
1763135156.9962637,9820,20.88
1763135161.9981475,9810,20.88
1763135166.997044,9800,20.87
1763135171.997484,9770,20.87
1763135176.997308,9720,20.88
1763135181.9992328,9660,20.87
1763135186.99779,9650,20.88
1763135192.0070026,9640,20.89
1763135196.9977736,9620,20.89
1763135201.9980047,9600,20.89
1763135206.9979856,9600,20.88
1763135211.998179,9590,20.88
1763135216.99814,9570,20.88
1763135222.0026872,9540,20.88
1763135226.9997985,9520,20.88
1763135232.003525,9500,20.88
1763135236.9999557,9440,20.89
1763135242.0251565,9430,20.88
1763135247.0001385,9390,20.87
1763135252.0010784,9390,20.88
1763135257.000265,9390,20.88
1763135262.0012472,9400,20.89
1763135267.0038369,9370,20.88
1763135272.000562,9380,20.88
1763135277.000585,9390,20.87
1763135282.002199,9400,20.88
1763135287.0021522,9460,20.88
1763135292.004586,9520,20.88
1763135297.0021093,9640,20.87
1763135302.0022078,9650,20.88
1763135307.0031898,9720,20.88
1763135312.0023365,9720,20.88
1763135317.003176,9770,20.88
1763135322.0027618,9780,20.86
1763135327.0043106,9820,20.87
1763135332.004823,9860,20.88
1763135337.0116396,9910,20.87
1763135342.004998,9940,20.87
1763135347.005008,10000,20.87
1763135352.0050228,9990,20.88
1763135357.0119941,10010,20.87
1763135362.0064123,10010,20.88
1763135367.0066924,10010,20.88
1763135372.0087738,10060,20.88
1763135377.0066068,10100,20.87
1763135382.008294,10090,20.87
1763135387.0083432,10140,20.87
1763135392.0084882,10190,20.86
1763135397.0088756,10230,20.86
1763135402.011777,10280,20.87
1763135407.0107727,10280,20.87
1763135412.0105731,10280,20.85
1763135417.010726,10290,20.86
1763135422.0123613,10310,20.87
1763135427.010773,10300,20.88
1763135432.0117466,10360,20.88
1763135437.0724523,10410,20.87
1763135442.0117967,10410,20.87
1763135447.0126853,10440,20.87
1763135452.0117419,10460,20.86
1763135457.014175,10480,20.83
1763135462.0137484,10490,20.86
1763135467.0165217,10530,20.88
1763135472.0140295,10590,20.87
1763135477.0139704,10740,20.87
1763135482.01405,10850,20.87
1763135487.014115,10990,20.86
1763135492.0183806,11150,20.84
1763135497.0142741,11340,20.83
1763135502.014599,11580,20.84
1763135507.0145621,11690,20.84
1763135512.0187533,11810,20.85
1763135517.0147064,11830,20.84
1763135522.0151956,11870,20.85
1763135527.0152621,11940,20.86
1763135532.0158408,12000,20.83
1763135537.0158837,12030,20.83
1763135542.0154722,12010,20.83
1763135547.03183,12010,20.83
1763135552.019212,12020,20.82
1763135557.019849,12030,20.84
1763135562.0168278,12080,20.83
1763135567.0168953,12080,20.83
1763135572.017003,12070,20.83
1763135577.0171492,12070,20.83
1763135582.017236,12090,20.82
1763135587.0196133,12100,20.82
1763135592.0182667,12130,20.84
1763135597.0191975,12120,20.84
1763135602.0272572,12130,20.83
1763135607.0177765,12140,20.84
1763135612.0178397,12140,20.85
1763135617.017912,12150,20.86
1763135622.0181532,12170,20.82
1763135627.023031,12160,20.82
1763135632.0181334,12150,20.83
1763135637.0207012,12170,20.84
1763135642.019838,12220,20.87
1763135647.0213668,12220,20.84
1763135652.0199394,12240,20.83
1763135657.020013,12240,20.84
1763135662.0201156,12260,20.82
1763135667.0238361,12240,20.85
1763135672.020251,12230,20.85
1763135677.0203629,12250,20.83
1763135682.0204165,12260,20.83
1763135687.020608,12260,20.82
1763135692.0218458,12260,20.83
1763135697.0206394,12270,20.83
1763135702.021644,12360,20.84
1763135707.0217228,12430,20.85
1763135712.0261552,12620,20.83
1763135717.0218954,12870,20.83
1763135722.025791,13210,20.82
1763135727.0223708,13440,20.82
1763135732.0266523,14080,20.81
1763135737.022528,14300,20.81
1763135742.023572,14600,20.81
1763135747.0232964,14840,20.81
