time,elapsed_time,temperature_C,OD_135_V,OD_Ref_V,OD_90_V
2026-01-29 09:53:36,1.0013580322265625e-05,22.062,0.24321153846153848,0.866548076923077,0.19829807692307694
2026-01-29 09:53:56,20.000126123428345,22.187,0.24538461538461537,1.058701923076923,0.21467307692307694
2026-01-29 09:54:16,40.000239849090576,22.562,0.22791964285714286,0.8176964285714287,0.24134821428571432
2026-01-29 09:54:36,60.000354528427124,23.312,0.2103076923076923,0.6253942307692307,0.23223076923076924
2026-01-29 09:54:56,80.00049090385437,24.062,0.2007596153846154,0.737576923076923,0.19685576923076922
2026-01-29 09:55:16,100.00062298774719,24.687,0.1808173076923077,0.5414711538461539,0.21333653846153847
2026-01-29 09:55:36,120.0007586479187,25.125,0.21675961538461538,0.8834326923076923,0.1681923076923077
2026-01-29 09:55:56,140.0008990764618,25.312,0.19802678571428572,0.8110625,0.16577678571428572
2026-01-29 09:56:16,160.00101447105408,25.375,0.20256730769230769,0.852548076923077,0.17967307692307694
2026-01-29 09:56:36,180.001149892807,25.312,0.21591071428571432,0.9491160714285715,0.17019642857142858
2026-01-29 09:56:56,200.0012686252594,25.187,0.21382692307692308,0.9496634615384616,0.17236538461538464
2026-01-29 09:57:16,220.00140380859375,25.062,0.2025,0.8402403846153846,0.15748076923076923
2026-01-29 09:57:36,240.00154447555542,25.0,0.1876607142857143,0.7787053571428572,0.18597321428571428
2026-01-29 09:57:56,260.0016858577728,25.0,0.19075961538461542,0.7892115384615385,0.1836057692307692
2026-01-29 09:58:16,280.0018084049225,25.0,0.21935576923076922,0.8553557692307693,0.17213461538461539
2026-01-29 09:58:36,300.0019459724426,25.0,0.20847115384615386,0.9156634615384616,0.17065384615384616
2026-01-29 09:58:56,320.0020842552185,25.0,0.22891346153846154,0.9237884615384615,0.1679230769230769
2026-01-29 09:59:16,340.0022156238556,24.937,0.20443750000000002,0.8162142857142857,0.1710892857142857
2026-01-29 09:59:36,360.00235629081726,25.0,0.20754807692307692,0.8697884615384616,0.1698653846153846
2026-01-29 09:59:56,380.002494096756,25.0,0.2211346153846154,0.8188461538461538,0.15176923076923077
2026-01-29 10:00:16,400.00262570381165,25.0,0.24714423076923075,1.0437211538461537,0.1419903846153846
2026-01-29 10:00:36,420.0027582645416,25.0,0.20817307692307693,0.8082211538461539,0.17760576923076923
2026-01-29 10:00:56,440.00289726257324,25.0,0.19408035714285715,0.8941428571428572,0.17242857142857143
2026-01-29 10:01:16,460.0030314922333,25.0,0.24835576923076924,1.3340769230769232,0.12252884615384615
2026-01-29 10:01:36,480.0031645298004,25.0,0.21990178571428573,0.7359285714285715,0.1829464285714286
2026-01-29 10:01:56,500.0032913684845,25.0,0.20299038461538463,0.7887980769230769,0.1793076923076923
2026-01-29 10:02:16,520.0034186840057,25.0,0.20994642857142856,1.0146964285714286,0.16507142857142856
2026-01-29 10:02:36,540.0035603046417,25.0,0.22174038461538462,0.8074326923076923,0.18161538461538462
2026-01-29 10:02:56,560.0036962032318,25.0,0.22000000000000003,0.9562403846153846,0.15777884615384613
2026-01-29 10:03:16,580.0038256645203,25.0,0.2133482142857143,0.8325178571428572,0.17036607142857144
2026-01-29 10:03:36,600.003965139389,25.0,0.19798076923076924,0.8164423076923076,0.16599038461538462
2026-01-29 10:03:56,620.0040874481201,25.0,0.17478846153846156,0.7913461538461538,0.20313461538461539
2026-01-29 10:04:16,640.004222869873,25.0,0.17381730769230772,0.6183365384615385,0.20025961538461537
2026-01-29 10:04:36,660.0043532848358,25.062,0.20460714285714285,0.7626696428571428,0.18796428571428572
2026-01-29 10:04:56,680.0044782161713,25.062,0.2380192307692308,1.0280673076923077,0.1342596153846154
2026-01-29 10:05:16,700.0046036243439,25.062,0.19942857142857146,0.7815803571428572,0.17055357142857144
2026-01-29 10:05:36,720.0047245025635,25.062,0.1938846153846154,0.8189903846153845,0.18175000000000002
2026-01-29 10:05:56,740.0048553943634,25.062,0.22173076923076923,0.8937019230769232,0.16259615384615383
2026-01-29 10:06:16,760.0049908161163,25.062,0.21409821428571427,0.7559732142857143,0.16958035714285716
2026-01-29 10:06:36,780.0051302909851,25.062,0.2149464285714286,0.8472053571428572,0.15785714285714286
2026-01-29 10:06:56,800.0052511692047,25.062,0.20350000000000001,0.8838214285714285,0.16899107142857142
2026-01-29 10:07:16,820.0053904056549,25.062,0.18794642857142857,0.7781964285714286,0.17599107142857143
2026-01-29 10:07:36,840.0055260658264,25.062,0.1906346153846154,0.7700096153846154,0.17600961538461538
2026-01-29 10:07:56,860.0056569576263,25.062,0.1821826923076923,0.6665480769230769,0.178875
2026-01-29 10:08:16,880.0057988166809,25.062,0.19561607142857143,0.7995714285714286,0.17076785714285717
2026-01-29 10:08:36,900.0059304237366,25.062,0.1999107142857143,0.7825982142857143,0.16608928571428572
2026-01-29 10:08:56,920.0060544013977,25.125,0.21502884615384615,0.8804615384615384,0.1750192307692308
2026-01-29 10:09:16,940.0061838626862,25.125,0.22699038461538462,1.0865384615384615,0.17222115384615386
2026-01-29 10:09:36,960.006313085556,25.125,0.20933653846153846,0.995375,0.16275
2026-01-29 10:09:56,980.0064389705658,25.125,0.200875,0.8159285714285714,0.1813125
2026-01-29 10:10:16,1000.006679058075,25.125,0.2513076923076923,1.006125,0.15111538461538462
2026-01-29 10:10:36,1020.0068674087524,25.125,0.20509615384615387,0.9194903846153847,0.16820192307692305
2026-01-29 10:10:56,1040.0070011615753,25.062,0.17842307692307693,0.5598653846153846,0.20627884615384615
