time,CO2_ppm,O2_percent
1763136043.866943,2650,21.02
1763136048.8795447,2600,21.01
1763136053.8667147,2540,21.0
1763136058.8725832,2490,20.97
1763136063.8697078,2450,20.97
1763136068.8710492,2420,20.99
1763136073.869794,2370,20.99
1763136078.872388,2370,21.0
1763136083.8723822,2360,20.99
1763136088.8821082,2340,20.98
1763136093.872496,2320,20.97
1763136098.8863144,2320,20.98
1763136103.8730686,2330,20.99
1763136108.9091613,2320,20.99
1763136113.8731441,2320,20.98
1763136118.8732064,2340,20.98
