time,elapsed_time,temperature_C,OD_135_V,OD_Ref_V,OD_90_V,O2_percent
2026-01-28 16:00:04,1.9073486328125e-06,24.75,0.07024107142857143,0.9633035714285715,0.07074107142857143,20.94
2026-01-28 16:00:25,20.000068187713623,24.812,0.0687857142857143,0.8394553571428572,0.07175000000000001,20.95
2026-01-28 16:00:44,40.00013756752014,24.75,0.06909821428571429,0.8257053571428571,0.06998214285714285,20.95
2026-01-28 16:01:04,60.0002019405365,24.75,0.06802678571428572,0.8995625,0.07828571428571429,20.95
2026-01-28 16:01:24,80.0002772808075,24.812,0.06845535714285715,0.8422678571428571,0.0762142857142857,20.95
2026-01-28 16:01:44,100.00034999847412,24.812,0.07089285714285715,0.8327767857142857,0.07370535714285716,20.95
2026-01-28 16:02:04,120.00042223930359,24.75,0.06984821428571429,0.8635178571428571,0.07148214285714286,20.95
2026-01-28 16:02:24,140.00049304962158,24.812,0.06977678571428572,0.8252678571428572,0.07275,20.95
2026-01-28 16:02:44,160.0005602836609,24.812,0.06955357142857144,0.8372857142857143,0.07261607142857143,20.95
2026-01-28 16:03:04,180.00062799453735,24.75,0.07009821428571429,0.8617142857142858,0.07334821428571428,20.95
2026-01-28 16:03:24,200.0006980895996,24.812,0.07066964285714286,0.79125,0.07591071428571429,20.95
2026-01-28 16:03:44,220.00076150894165,24.812,0.06884821428571429,0.8570803571428571,0.07162500000000001,20.95
2026-01-28 16:04:04,240.00083112716675,24.812,0.07061607142857143,0.8407767857142857,0.07316071428571429,20.95
2026-01-28 16:04:24,260.0009274482727,24.812,0.0715625,0.8512946428571428,0.07501785714285715,20.95
2026-01-28 16:04:44,280.0009956359863,24.812,0.06932142857142858,0.8187767857142857,0.07199107142857143,20.95
2026-01-28 16:05:04,300.00107192993164,24.812,0.06863392857142857,0.8674999999999999,0.07283035714285714,20.96
2026-01-28 16:05:24,320.00114035606384,24.875,0.07128571428571429,0.8496964285714286,0.07011607142857143,20.95
2026-01-28 16:05:44,340.0012118816376,24.875,0.07004464285714286,0.8751785714285714,0.07330357142857144,20.95
2026-01-28 16:06:04,360.0012764930725,24.875,0.06970535714285715,0.8290625,0.07128571428571429,20.95
2026-01-28 16:06:24,380.00135350227356,24.875,0.06815178571428572,0.8543035714285715,0.07269642857142856,20.95
2026-01-28 16:06:44,400.0014262199402,24.812,0.07186607142857142,0.8717946428571429,0.07355357142857143,20.95
2026-01-28 16:07:04,420.00149607658386,24.812,0.06932142857142858,0.8756964285714286,0.07511607142857143,20.95
2026-01-28 16:07:24,440.00156688690186,24.812,0.07020535714285714,0.824232142857143,0.07178571428571427,20.95
2026-01-28 16:07:44,460.0016362667084,24.812,0.06953571428571428,0.8476964285714287,0.07658035714285714,20.95
2026-01-28 16:08:05,480.00170254707336,24.875,0.07114285714285715,0.8840178571428572,0.07386607142857142,20.95
