time,CO2_ppm,O2_percent
1763109631.0707922,1720,20.71
1763109635.4968407,3430,20.89
1763109640.4969063,5110,20.89
1763109645.4969616,7690,20.89
1763109650.4971,8810,20.87
1763109655.4970932,9580,20.83
1763109660.4972744,9630,20.82
1763109665.4972918,9590,20.82
1763109670.4972875,9580,20.81
1763109675.4974346,9540,20.81
1763109680.4974597,9540,20.81
1763109685.4975662,9510,20.8
1763109690.4976106,9510,20.8
1763109695.4977167,9430,20.81
1763109700.497746,9430,20.8
1763109705.4978411,9370,20.8
1763109710.4979734,9330,20.79
1763109715.4979866,9160,20.8
1763109720.4981213,9100,20.79
1763109725.4981527,8940,20.79
1763109730.4982743,8830,20.8
1763109735.498291,8710,20.79
1763109740.498418,8590,20.79
1763109745.4985242,8380,20.8
1763109750.498559,8300,20.8
1763109755.4986508,8300,20.8
1763109760.4987717,8210,20.8
1763109765.4988532,8130,20.8
1763109770.4989004,8110,20.8
