time,CO2_ppm,CO2_2_ppm,O2_percent
1763478736.577292,6790,3190,21.11
1763478741.4190092,6620,4670,21.07
1763478746.418994,6550,5300,21.04
1763478751.418985,6230,5710,21.0
1763478756.4190187,6170,5800,20.97
1763478761.4193578,5990,5790,20.96
1763478766.4191957,5940,5730,20.96
1763478771.419266,5720,5610,20.95
1763478776.4193976,5700,5520,20.95
1763478781.4194074,5640,5410,20.95
1763478786.4195645,5570,5330,20.95
1763478791.4195695,5580,5250,20.94
1763478796.4196334,5560,5200,20.93
1763478801.419763,5560,5150,21.04
1763478806.4197884,5510,5160,21.0
1763478811.4199247,5490,5160,20.95
1763478816.419953,5470,5150,20.94
1763478821.4201233,5500,5130,20.93
1763478826.4201336,5480,5110,20.92
1763478831.4202082,5410,5090,20.92
1763478836.4203727,5370,5070,20.92
1763478841.4203794,5260,5030,20.93
1763478846.4205182,5210,4960,20.92
1763478851.4205356,5180,4860,20.93
1763478856.420702,5170,4790,20.91
1763478861.4215345,5150,4730,21.04
1763478866.4208162,5130,4730,21.01
1763478871.420944,5070,4720,20.96
1763478876.4209473,5050,4710,20.94
1763478881.4210255,5030,4680,20.94
1763478886.421088,5000,4650,20.93
1763478891.4212418,4950,4630,20.93
1763478896.4212375,4900,4590,20.93
1763478901.4213274,4810,4560,20.93
1763478906.42147,4790,4500,20.93
1763478911.421478,4690,4460,20.93
1763478916.421651,4670,4360,20.93
1763478921.4444041,4670,4320,21.04
1763478926.421739,4640,4340,21.03
1763478931.4779432,4620,4350,20.96
1763478936.4218826,4610,4350,20.94
1763478941.4219615,4600,4350,20.93
1763478946.4220426,4580,4330,20.93
1763478951.4222147,4540,4310,20.94
1763478956.4221807,4500,4280,20.93
1763478961.4222796,4460,4260,20.93
1763478966.4224262,4430,4180,20.94
1763478971.422437,4390,4130,20.94
1763478976.4225585,4360,4040,20.95
1763478981.4580898,4360,4020,21.04
1763478986.422793,4340,4020,21.03
1763478991.4229176,4330,4020,20.96
1763478996.4230018,4300,4010,20.94
1763479001.4230287,4250,4000,20.93
1763479006.4231033,4220,3980,20.94
1763479011.4232361,4190,3970,20.93
1763479016.4232552,4130,3940,20.93
1763479021.4234176,4100,3910,20.93
1763479026.4234357,4060,3860,20.94
1763479031.4235241,4010,3800,20.95
1763479036.423651,3960,3720,20.95
1763479041.4236665,3910,3690,21.05
1763479046.4237971,3900,3690,21.03
1763479051.4238136,3840,3690,20.96
1763479056.423966,3830,3680,20.94
1763479061.4239905,3820,3660,20.93
1763479066.4240768,3790,3640,20.94
1763479071.424251,3780,3620,20.93
1763479076.4242375,3770,3590,20.93
1763479081.4243817,3730,3550,20.93
1763479086.424403,3700,3480,20.93
1763479091.4245355,3670,3440,20.95
1763479096.4245439,3600,3360,20.95
1763479101.4246316,3540,3340,21.05
1763479106.4247603,3520,3340,21.03
1763479111.4247792,3510,3340,20.97
1763479116.424959,3480,3320,20.95
1763479121.4282978,3480,3300,20.94
1763479126.428462,3460,3260,20.95
1763479131.428481,3410,3230,20.94
1763479136.4285445,3380,3190,20.94
1763479141.4286895,3360,3150,20.94
1763479146.4286866,3330,3120,20.94
1763479151.428899,3320,3090,20.95
1763479156.4288669,3260,3040,20.95
1763479161.4289486,3230,3030,21.05
1763479166.429108,3190,3030,21.03
1763479171.4291143,3170,3030,20.97
1763479176.42925,3150,3020,20.95
1763479181.429264,3130,3020,20.95
1763479186.4293416,3120,3010,20.95
1763479191.42942,3110,2990,20.95
1763479196.429569,3080,2970,20.94
1763479201.4295955,3030,2940,20.94
