time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C
1763739464.1274307,620,680,20.87,23.687
1763739468.9274817,620,680,21.26,23.75
1763739473.919407,670,680,21.11,23.687
1763739478.9114184,730,680,20.99,23.75
1763739483.935465,850,680,20.5,23.75
1763739488.9274235,890,670,20.58,23.75
1763739493.9194171,890,680,20.75,23.75
1763739498.91144,850,680,20.81,23.75
1763739503.9354088,770,690,20.86,23.75
1763739508.927419,720,690,20.82,23.75
1763739513.9194357,650,690,20.87,23.75
1763739518.911414,620,690,20.91,23.75
1763739523.9354172,580,700,20.93,23.75
1763739528.927444,560,690,21.17,23.75
1763739533.9194138,540,690,21.11,23.75
1763739538.9114237,540,690,20.98,23.75
1763739543.9354172,540,690,20.96,23.687
1763739548.9274166,530,690,20.94,23.75
1763739553.919466,530,680,20.95,23.75
1763739558.9114258,530,680,20.95,23.75
1763739563.9354289,530,680,20.95,23.75
1763739568.927445,530,690,20.96,23.75
1763739573.9194326,530,680,20.96,23.75
1763739578.9113972,530,670,20.97,23.75
1763739583.9354355,530,670,20.98,23.75
1763739588.9274154,530,680,21.2,23.75
1763739593.9234512,530,680,21.13,23.75
