time,CO2_ppm,O2_percent
1763152813.771032,11860,20.85
1763152818.7735224,11890,20.85
1763152823.7708545,11880,20.84
1763152828.771412,11900,20.83
1763152833.77122,11910,20.82
1763152838.7721298,11910,20.83
1763152843.7713792,11940,20.83
1763152848.7714224,11950,20.83
1763152853.7715287,11940,20.83
1763152858.7772424,11940,20.82
1763152863.771598,11900,20.83
1763152868.7723622,11850,20.83
1763152873.7719738,11740,20.83
1763152878.7978108,11640,20.83
1763152883.7721128,11520,20.85
1763152888.7722328,11400,20.84
1763152893.7723076,11300,20.84
1763152898.7799058,11260,20.84
1763152903.7724237,11100,20.85
1763152908.7725947,11070,20.86
1763152913.7725945,11030,20.86
1763152918.7728095,11010,20.85
1763152923.773268,10970,20.84
1763152928.7728403,10960,20.85
1763152933.7736895,10870,20.85
1763152938.7731063,10840,20.86
1763152943.776519,10830,20.85
1763152948.7768197,10790,20.85
1763152953.7734375,10810,20.85
1763152958.77345,10780,20.86
1763152963.779173,10750,20.85
1763152968.7735815,10760,20.86
1763152973.7736905,10730,20.86
1763152978.7737422,10710,20.86
1763152983.7750258,10710,20.85
1763152988.7738845,10670,20.86
1763152993.777023,10680,20.86
1763152998.776806,10680,20.86
1763153003.7838907,10670,20.86
1763153008.7769318,10670,20.86
1763153013.7773902,10660,20.86
1763153018.7773855,10660,20.85
1763153023.7848036,10660,20.85
1763153028.7775638,10660,20.86
1763153033.778119,10660,20.86
1763153038.7778234,10670,20.85
1763153043.7780335,10660,20.84
1763153048.7781224,10670,20.84
1763153053.7780633,10670,20.84
1763153058.7792308,10670,20.85
1763153063.7792268,10670,20.84
1763153068.7803617,10660,20.84
1763153073.7793944,10660,20.85
1763153078.7809653,10660,20.85
1763153083.780342,10660,20.86
1763153088.784301,10660,20.86
1763153093.7804847,10660,20.86
1763153098.7811632,10650,20.86
1763153103.780785,10660,20.87
1763153108.7845767,10660,20.87
1763153113.7808933,10680,20.86
1763153118.780984,10670,20.85
1763153123.8434854,10670,20.85
1763153128.7812119,10680,20.86
1763153133.7854052,10690,20.87
1763153138.7842395,10700,20.87
1763153143.787524,10710,20.87
1763153148.7868824,10710,20.86
1763153153.7884493,10700,20.84
1763153158.78693,10700,20.84
1763153163.7876015,10710,20.86
1763153168.7873762,10710,20.86
1763153173.7895389,10710,20.86
1763153178.7875109,10720,20.87
1763153183.813774,10730,20.87
1763153188.7904758,10730,20.87
1763153193.7904894,10740,20.86
1763153198.7904918,10740,20.86
1763153203.7905715,10750,20.85
1763153208.7906363,10760,20.86
1763153213.792143,10780,20.87
1763153218.7907767,10800,20.86
1763153223.7909548,10810,20.85
1763153228.7909856,10840,20.85
1763153233.791154,10870,20.85
1763153238.7911606,10920,20.86
1763153243.8553443,10960,20.85
1763153248.7923656,10970,20.86
1763153253.7929137,10980,20.85
1763153258.792576,11070,20.86
1763153263.7928014,11110,20.87
1763153268.7927172,11210,20.87
1763153273.792844,11230,20.86
1763153278.7953537,11290,20.85
1763153283.7929475,11350,20.84
1763153288.793443,11350,20.83
1763153293.793216,11410,20.85
1763153298.795001,11470,20.85
1763153303.794239,11520,20.85
1763153308.793376,11550,20.83
1763153313.7948918,11560,20.84
1763153318.7939615,11620,20.83
1763153323.7952037,11640,20.84
1763153328.7941015,11670,20.84
1763153333.7951953,11680,20.83
1763153338.7948868,11650,20.84
1763153343.7997487,11670,20.85
1763153348.7950995,11660,20.83
1763153353.7951798,11680,20.83
1763153358.795204,11720,20.84
1763153363.7952757,11770,20.84
1763153368.801108,11840,20.84
1763153373.7954242,11920,20.83
1763153378.799136,11990,20.83
1763153383.798912,12070,20.83
1763153388.799417,12150,20.83
1763153393.7998724,12250,20.83
1763153398.802618,12340,20.83
1763153403.8022883,12360,20.83
1763153408.8072023,12390,20.83
1763153413.8056045,12430,20.83
1763153418.8032732,12480,20.83
1763153423.8068588,12540,20.83
1763153428.8058882,12540,20.82
1763153433.8035195,12560,20.82
1763153438.808255,12580,20.82
1763153443.8078113,12630,20.82
