time,CO2_ppm,O2_percent
1763130932.0547898,12060,20.82
1763130937.0559258,12060,20.81
1763130942.0547485,12060,20.82
1763130947.054845,12070,20.82
1763130952.0549767,12070,20.82
1763130957.054979,12070,20.82
1763130962.0550756,12070,20.82
1763130967.055147,12090,20.82
1763130972.0564733,12140,20.81
1763130977.0563133,12180,20.81
1763130982.0555847,12240,20.81
1763130987.061079,12280,20.82
1763130992.0605993,12260,20.82
1763130997.0607765,12250,20.81
1763131002.0610058,12240,20.82
1763131007.0608258,12220,20.81
1763131012.061825,12180,20.81
1763131017.061858,12100,20.82
1763131022.0620146,11990,20.82
1763131027.0649424,11840,20.81
1763131032.0620785,11760,20.83
1763131037.0621917,11440,20.84
1763131042.0622542,11280,20.81
1763131047.0624025,11140,20.82
1763131052.0669389,10980,20.82
1763131057.062434,10760,20.82
1763131062.0990553,10670,20.83
1763131067.0627825,10610,20.85
1763131072.0628507,10510,20.86
1763131077.067074,10480,20.85
1763131082.0629716,10460,20.84
1763131087.0636933,10390,20.85
1763131092.0631917,10350,20.86
1763131097.0670643,10200,20.86
1763131102.0633564,10160,20.86
1763131107.0634425,10090,20.84
1763131112.0706184,10090,20.84
1763131117.06838,10060,20.87
1763131122.0710368,10050,20.87
1763131127.0685213,10020,20.87
1763131132.074469,10000,20.88
1763131137.0737686,9930,20.86
1763131142.075008,9910,20.86
1763131147.073952,9810,20.85
1763131152.0740063,9820,20.86
1763131157.076237,9820,20.87
1763131162.076313,9780,20.88
1763131167.0765128,9700,20.87
1763131172.0772,9690,20.84
1763131177.0800765,9670,20.84
1763131182.082592,9640,20.86
1763131187.0803642,9590,20.87
1763131192.0804513,9550,20.87
1763131197.0839667,9530,20.87
1763131202.0805929,9510,20.87
1763131207.0807223,9510,20.88
1763131212.080747,9490,20.87
1763131217.0841997,9430,20.87
1763131222.0817425,9410,20.87
1763131227.087305,9390,20.87
1763131232.081056,9370,20.87
1763131237.094238,9370,20.88
1763131242.0841887,9340,20.88
1763131247.090544,9330,20.88
1763131252.0842912,9330,20.88
1763131257.091769,9300,20.87
1763131262.0863833,9270,20.86
1763131267.0859776,9250,20.88
1763131272.0902603,9200,20.87
1763131277.0861366,9180,20.86
1763131282.086197,9150,20.88
1763131287.089007,9140,20.88
1763131292.086719,9160,20.87
1763131297.0940254,9130,20.89
1763131302.0868957,9140,20.89
1763131307.0870373,9150,20.88
1763131312.0870533,9150,20.88
1763131317.0938957,9140,20.88
1763131322.0902872,9150,20.89
1763131327.0873194,9140,20.89
1763131332.0874095,9150,20.88
1763131337.087514,9150,20.87
1763131342.08932,9140,20.87
1763131347.0875847,9160,20.87
1763131352.0928786,9170,20.87
1763131357.0882995,9170,20.88
1763131362.0883899,9180,20.87
1763131367.113367,9170,20.88
1763131372.0897012,9170,20.89
1763131377.089339,9170,20.88
1763131382.0905037,9180,20.87
1763131387.0917706,9170,20.88
1763131392.0895514,9160,20.88
1763131397.089617,9150,20.88
1763131402.0912097,9160,20.88
1763131407.0908546,9160,20.88
1763131412.0909646,9140,20.87
1763131417.0960226,9130,20.88
1763131422.091053,9140,20.88
1763131427.091129,9130,20.86
1763131432.0912812,9130,20.87
1763131437.0913167,9140,20.89
1763131442.091472,9120,20.89
1763131447.0977619,9120,20.88
1763131452.0915244,9110,20.88
1763131457.0916028,9110,20.88
1763131462.0925763,9110,20.88
1763131467.0923176,9100,20.88
1763131472.0927277,9050,20.88
1763131477.0926886,9020,20.89
1763131482.0926516,9040,20.89
1763131487.092732,9020,20.89
1763131492.0927851,8990,20.89
1763131497.0928366,9000,20.88
1763131502.093759,9010,20.89
1763131507.092977,8980,20.88
1763131512.093164,8960,20.89
1763131517.0973914,8930,20.88
1763131522.0961325,8900,20.88
1763131527.096332,8870,20.88
1763131532.099496,8840,20.88
1763131537.0963576,8840,20.89
1763131542.097809,8840,20.88
1763131547.0973277,8820,20.89
1763131552.1087165,8790,20.89
1763131557.0974712,8780,20.89
1763131562.0975304,8750,20.88
1763131567.1007764,8760,20.88
1763131572.100447,8760,20.88
1763131577.1086824,8760,20.88
1763131582.1005862,8740,20.89
1763131587.1006532,8730,20.9
1763131592.1038961,8740,20.89
1763131597.1034634,8720,20.88
1763131602.1060588,8700,20.89
1763131607.1050968,8700,20.89
1763131612.1036572,8670,20.89
1763131617.1072037,8690,20.88
1763131622.1059253,8700,20.89
1763131627.1063206,8740,20.9
1763131632.1060338,8780,20.89
1763131637.1060808,8820,20.89
1763131642.1078413,8850,20.88
1763131647.1070848,8870,20.88
1763131652.1082687,8890,20.88
1763131657.107215,8930,20.88
1763131662.10729,9010,20.89
1763131667.1079688,9100,20.88
1763131672.134433,9200,20.88
1763131677.1125774,9260,20.88
1763131682.1079063,9330,20.88
1763131687.1079736,9440,20.87
1763131692.1080005,9490,20.88
1763131697.1080742,9520,20.89
1763131702.1111388,9560,20.88
1763131707.1081991,9590,20.87
1763131712.1138058,9570,20.87
1763131717.1129782,9620,20.88
1763131722.1171775,9640,20.88
1763131727.1131177,9650,20.84
1763131732.1131852,9640,20.85
1763131737.1132727,9650,20.86
1763131742.113434,9670,20.87
1763131747.1146276,9660,20.88
1763131752.113502,9660,20.88
