time,CO2_ppm,O2_percent
1763112343.6494956,4800,20.89
1763112348.649638,4810,20.89
1763112353.649631,4830,20.9
1763112358.6497624,4840,20.9
1763112363.6502388,4840,20.89
1763112368.6503665,4880,20.89
1763112373.650399,4890,20.89
1763112378.653576,4890,20.89
1763112383.6507459,4910,
1763112388.6505747,4920,20.89
1763112393.6506937,4930,20.89
1763112398.650707,4940,20.89
1763112403.6508174,4960,20.89
1763112408.6508698,4990,20.89
1763112413.6509538,4990,20.89
1763112418.6510408,5000,20.89
1763112423.6510496,5030,20.89
1763112428.6511552,5040,20.89
1763112433.6512036,5040,20.89
1763112438.651313,5060,20.89
