time,CO2_ppm,O2_percent
1763129097.5045729,15130,20.77
1763129102.5056615,15070,20.78
1763129107.5045822,15060,20.77
1763129112.506214,15120,20.78
1763129117.5044796,15040,20.79
1763129122.504937,15070,20.78
1763129127.5048127,15030,20.79
1763129132.509453,15060,20.77
1763129137.505524,15050,20.76
1763129142.5049703,15010,20.74
1763129147.5053608,14990,20.76
1763129152.5053296,14970,20.77
1763129157.5119817,14940,20.79
1763129162.5056324,14940,20.8
1763129167.5056012,14890,20.79
1763129172.505691,14840,20.77
1763129177.5058796,14780,20.77
1763129182.5087776,14740,20.79
1763129187.5059085,14710,20.78
1763129192.5097816,14620,20.76
1763129197.509469,14600,20.79
1763129202.5095325,14550,20.8
1763129207.5132816,14490,20.79
1763129212.509678,14370,20.79
1763129217.5097601,14320,20.79
1763129222.5098085,14120,20.79
1763129227.5098877,14070,20.8
1763129232.5115368,13930,20.8
1763129237.5100455,13840,20.8
1763129242.5101752,13650,20.79
1763129247.5101998,13390,20.8
1763129252.5103705,13240,20.8
1763129257.5109758,13200,20.81
1763129262.510408,13160,20.8
1763129267.5154483,13100,20.81
1763129272.5134065,13080,20.81
1763129277.5158267,13030,20.81
1763129282.5135462,13010,20.81
1763129287.5136094,12870,20.81
1763129292.5136836,12840,20.81
1763129297.5137625,12750,20.81
1763129302.5140564,12730,20.81
1763129307.513876,12640,20.81
1763129312.5389376,12630,20.81
1763129317.517408,12570,20.82
1763129322.5175755,12510,20.81
1763129327.5177507,12460,20.81
1763129332.5176363,12420,20.81
1763129337.5177748,12350,20.81
1763129342.5177848,12330,20.81
1763129347.5178287,12310,20.81
1763129352.518384,12300,20.81
1763129357.5179615,12220,20.8
1763129362.5180194,12200,20.81
1763129367.5194068,12150,20.81
1763129372.5189383,12150,20.81
1763129377.5192885,12130,20.81
1763129382.5192862,12100,20.81
1763129387.5191383,12060,20.81
1763129392.5195262,12030,20.81
1763129397.5195134,11930,20.81
1763129402.5197136,11940,20.81
1763129407.519776,11900,20.82
1763129412.5197346,11880,20.82
1763129417.5245657,11850,20.81
1763129422.522555,11790,20.81
1763129427.5227294,11720,20.81
1763129432.526574,11710,20.82
1763129437.5227635,11710,20.82
1763129442.5258865,11720,20.82
1763129447.5244443,11680,20.82
1763129452.5300927,11650,20.82
1763129457.5245626,11590,20.81
1763129462.524635,11540,20.81
1763129467.5247095,11480,20.81
1763129472.5250807,11480,20.81
1763129477.524844,11450,20.82
1763129482.524918,11410,20.82
1763129487.5301256,11370,20.82
1763129492.5250583,11320,20.82
1763129497.5268416,11250,20.82
1763129502.5251935,11220,20.82
1763129507.5303993,11190,20.83
1763129512.528282,11170,20.82
1763129517.5290716,11150,20.82
1763129522.5284333,11100,20.81
1763129527.5297158,11050,20.82
1763129532.5296931,11040,20.84
1763129537.533555,10970,20.82
1763129542.5298357,10960,20.81
1763129547.5298944,10920,20.83
1763129552.5311375,10920,20.84
1763129557.5308232,10910,20.83
1763129562.5308998,10910,20.83
1763129567.5337534,10880,20.83
1763129572.531038,10840,20.82
1763129577.5311475,10800,20.83
1763129582.5329728,10750,20.82
1763129587.5315957,10740,20.81
1763129592.5316744,10720,20.81
1763129597.5378425,10700,20.82
1763129602.5318234,10640,20.83
1763129607.5319147,10620,20.84
1763129612.5404112,10620,20.84
1763129617.5569408,10620,20.84
1763129622.5409806,10580,20.85
1763129627.5399091,10530,20.83
1763129632.5399716,10460,20.82
1763129637.540145,10430,20.82
1763129642.5401132,10460,20.84
1763129647.5442417,10420,20.83
1763129652.540264,10350,20.84
1763129657.5405667,10350,20.85
1763129662.5405922,10340,20.84
1763129667.5408492,10340,20.83
1763129672.540949,10300,20.83
1763129677.5408537,10280,20.83
1763129682.5409958,10280,20.83
1763129687.541043,10270,20.84
1763129692.541118,10160,20.84
1763129697.5463688,10100,20.86
1763129702.5412376,10090,20.84
1763129707.5413985,10070,20.84
1763129712.541427,10080,20.83
1763129717.541592,10070,20.83
1763129722.54629,10030,20.84
1763129727.5416148,10000,20.84
1763129732.5439918,10000,20.82
1763129737.542518,10000,20.84
1763129742.5488222,9980,20.83
1763129747.542671,9930,20.85
1763129752.5428393,9870,20.86
1763129757.5429013,9850,20.85
1763129762.5430279,9870,20.86
1763129767.5488594,9850,20.83
1763129772.5430508,9840,20.82
1763129777.543587,9830,20.85
1763129782.543305,9770,20.86
1763129787.543547,9710,20.86
1763129792.5454137,9700,20.84
1763129797.5435376,9710,20.86
1763129802.5435941,9710,20.87
1763129807.5436785,9710,20.84
1763129812.5439818,9690,20.82
1763129817.5438137,9680,20.84
1763129822.5444841,9680,20.87
1763129827.5441887,9670,20.86
1763129832.5462842,9650,20.85
1763129837.5509603,9620,20.83
1763129842.5443494,9620,20.84
1763129847.5484126,9630,20.84
1763129852.545036,9630,20.83
1763129857.549848,9620,20.83
1763129862.5451806,9630,20.87
1763129867.5452516,9630,20.86
1763129872.5453262,9620,20.84
1763129877.5454822,9620,20.83
1763129882.5475736,9620,20.85
1763129887.5455375,9610,20.85
1763129892.5463114,9620,20.87
1763129897.5460622,9620,20.87
1763129902.5464833,9620,20.86
1763129907.5462005,9610,20.82
1763129912.5468295,9620,20.86
1763129917.546708,9600,20.87
1763129922.5658295,9590,20.87
1763129927.5468519,9570,20.86
1763129932.5470197,9570,20.83
1763129937.5470443,9560,20.84
1763129942.5505047,9560,20.86
1763129947.547178,9550,20.86
1763129952.5480778,9550,20.87
1763129957.54817,9540,20.87
1763129962.5482128,9540,20.85
1763129967.5479224,9550,20.86
1763129972.5480676,9530,20.85
1763129977.5480938,9540,20.85
1763129982.5485678,9530,20.86
1763129987.5482264,9540,20.84
1763129992.5483031,9530,20.87
1763129997.5483968,9510,20.87
1763130002.5484464,9480,20.86
1763130007.5528142,9500,20.88
1763130012.5489953,9520,20.88
1763130017.5486424,9530,20.87
1763130022.5495732,9520,20.86
1763130027.5492132,9550,20.86
1763130032.5492918,9560,20.86
1763130037.5526414,9520,20.87
1763130042.549436,9520,20.87
1763130047.5495071,9520,20.87
1763130052.5495994,9530,20.87
1763130057.5496457,9530,20.85
1763130062.553287,9520,20.85
1763130067.5538251,9520,20.84
1763130072.5534062,9520,20.87
