time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C,OD_Trx_V,OD_Sct_V,OD_Ref_V,OD_90_V,OD_135_V
2.6226043701171875e-06,nan,43950.0,20.33,36.625,,,0.5514375000000001,0.04445535714285714,0.04055357142857143
5.000089883804321,nan,44000.0,20.31,36.625,,,0.5431875,0.045785714285714284,0.0404375
10.000202178955078,nan,44040.0,20.25,36.562,,,0.5624553571428571,0.04618749999999999,0.04058035714285713
15.000288248062134,nan,44110.0,20.25,36.5,,,0.5409375000000001,0.04666964285714286,0.041241071428571426
20.000372409820557,nan,44140.0,20.26,36.437,,,0.5369017857142857,0.04626785714285715,0.04058928571428571
25.00045895576477,nan,44200.0,20.26,36.312,,,0.5428214285714286,0.04436607142857142,0.0411875
30.00054144859314,nan,44210.0,20.25,36.25,,,0.5437857142857142,0.04519642857142857,0.04216964285714286
35.00061821937561,nan,44290.0,20.27,36.25,,,0.5409375000000001,0.04712499999999999,0.04013392857142857
40.00069880485535,nan,44310.0,20.26,36.187,,,0.5240446428571429,0.04530357142857143,0.04112500000000001
45.000773429870605,nan,44310.0,20.26,36.125,,,0.5425892857142858,0.046071428571428576,0.04057142857142857
50.00084733963013,nan,44240.0,20.26,36.125,,,0.5362232142857143,0.04644642857142856,0.040464285714285717
55.000921964645386,nan,44160.0,20.25,36.062,,,0.5408125,0.04460714285714286,0.04116071428571429
60.00123190879822,nan,44070.0,20.25,36.062,,,0.5329821428571428,0.0459375,0.04004464285714287
65.00130820274353,nan,44040.0,20.31,36.062,,,0.5408303571428571,0.04455357142857142,0.040687499999999995
70.00138568878174,nan,44020.0,20.28,36.0,,,0.5427500000000001,0.04440178571428571,0.040017857142857154
75.00146532058716,nan,43970.0,20.26,36.062,,,0.5457053571428572,0.04519642857142857,0.040258928571428564
80.00153875350952,nan,43970.0,20.26,36.0,,,0.5336696428571429,0.04553571428571429,0.04133035714285715
85.00162839889526,nan,43990.0,20.26,36.0,,,0.5287589285714286,0.043678571428571435,0.040107142857142855
90.00169968605042,nan,43900.0,20.26,36.0,,,0.5417211538461537,0.04519230769230769,0.041163461538461545
95.00177264213562,nan,43780.0,20.32,36.0,,,0.5425267857142856,0.04541964285714285,0.04116071428571429
100.00184369087219,nan,43700.0,20.32,36.0,,,0.5228660714285714,0.044651785714285706,0.04040178571428571
105.00192379951477,nan,43490.0,20.26,36.0,,,0.49367857142857147,0.04346428571428572,0.04002678571428571
110.00200843811035,nan,43360.0,20.26,36.0,,,0.5342321428571429,0.04554464285714286,0.040910714285714286
115.00208687782288,nan,43100.0,20.26,36.0,,,0.5356071428571428,0.044285714285714296,0.040107142857142855
120.00215888023376,nan,42960.0,20.26,36.0,,,0.5347678571428571,0.040598214285714286,0.038017857142857145
125.00223565101624,nan,42840.0,20.33,36.0,,,0.5366071428571428,0.040419642857142855,0.03666964285714286
130.00231528282166,nan,42740.0,20.33,35.937,,,0.5090000000000001,0.040169642857142855,0.03759821428571428
135.00239610671997,nan,42690.0,20.27,35.937,,,0.5333392857142858,0.039830357142857147,0.03628571428571429
140.00247812271118,nan,42660.0,20.26,35.937,,,0.5340714285714286,0.039294642857142854,0.03691071428571429
145.00254917144775,nan,42530.0,20.26,36.0,,,0.5347500000000001,0.03895535714285714,0.03688392857142857
150.00262117385864,nan,42470.0,20.26,36.062,,,0.5241964285714287,0.04325892857142858,0.03708035714285714
155.00269389152527,nan,42440.0,20.33,36.125,,,0.5320535714285713,0.04114285714285714,0.03783928571428572
